Reporter,Partner,Date of Signature,Date of entry into force
Montenegro,Austria,12-Oct-01,---
Montenegro,Azerbaijan,16-Sep-11,---
Montenegro,Belgium and Luxembourg,16-Feb-10,---
Montenegro,Cyprus,21-Jun-05,---
Montenegro,Czech Republic,3-Jun-10,---
Montenegro,Denmark,11-Feb-09,---
Montenegro,Finland,14-Nov-08,29-Apr-10
Montenegro,India,31-Jan-03,---
Montenegro,"Macedonia, TFYR",15-Dec-10,30-Nov-11
Montenegro,Malta,6-Apr-10,23-Sep-10
Montenegro,Netherlands,29-Jan-02,1-Jun-04
Montenegro,Poland,25-Oct-79,---
Montenegro,Qatar,17-Feb-09,---
Montenegro,Serbia,29-Oct-09,---
Montenegro,Spain,25-Jun-02,31-Mar-04
Montenegro,Switzerland,7-Dec-05,11-Jul-07
Montenegro,United Arab Emirates,26-Mar-12,---
