Reporter,Partner,Date of Signature,Date of entry into force
Trinidad and Tobago,Canada,11-Sep-95,8-Jul-96
Trinidad and Tobago,China,22-Jul-02,24-May-04
Trinidad and Tobago,Cuba,26-May-99,7-Jan-00
Trinidad and Tobago,France,28-Oct-93,16-May-96
Trinidad and Tobago,Germany,8-Sep-06,17-Apr-10
Trinidad and Tobago,India,12-Mar-07,7-Oct-07
Trinidad and Tobago,"Korea, Republic of",5-Nov-02,27-Nov-03
Trinidad and Tobago,Mexico,3-Oct-06,16-Sep-07
Trinidad and Tobago,Spain,3-Jul-99,17-Sep-04
Trinidad and Tobago,Switzerland,26-Oct-10,4-Jul-12
Trinidad and Tobago,United Kingdom,23-Jul-93,8-Oct-93
Trinidad and Tobago,United States,26-Sep-94,26-Dec-96
