Reporter,Partner,Date of Signature,Date of entry into force
Albania,Austria,18-Mar-93,1-Aug-95
Albania,Azerbaijan,9-Feb-12,---
Albania,Belgium and Luxembourg,1-Feb-99,18-Oct-02
Albania,Bosnia and Herzegovina,17-Jun-08,6-Apr-09
Albania,Bulgaria,27-Apr-94,28-Jan-96
Albania,China,13-Feb-93,1-Sep-95
Albania,Croatia,10-Feb-09,8-Apr-10
Albania,Cyprus,5-Aug-10,---
Albania,Czech Republic,8-Oct-10,---
Albania,Denmark,5-Sep-95,18-Jan-96
Albania,Egypt,22-May-93,6-Apr-94
Albania,Finland,24-Jun-97,20-Feb-99
Albania,France,13-Jun-95,14-Jun-96
Albania,Germany,31-Oct-91,18-Aug-95
Albania,Greece,1-Aug-91,4-Jan-95
Albania,Hungary,24-Jan-96,1-Apr-98
Albania,"Iran, Islamic Republic of",18-Nov-02,---
Albania,Israel,29-Jan-96,18-Feb-97
Albania,Italy,12-Sep-91,29-Jan-96
Albania,"Korea, Republic of",15-Dec-03,4-Jan-04
Albania,Kuwait,12-Dec-07,---
Albania,Lithuania,28-Mar-07,7-Dec-07
Albania,"Macedonia, TFYR",4-Dec-97,3-Apr-98
Albania,Malaysia,24-Jan-94,29-Mar-94
Albania,Malta,27-Jan-11,---
Albania,"Moldova, Republic of",11-Jun-04,23-Dec-04
Albania,Netherlands,15-Apr-94,1-Sep-95
Albania,Poland,1-Nov-06,---
Albania,Portugal,11-Sep-98,10-Jun-07
Albania,Qatar,18-Oct-11,---
Albania,Romania,11-May-95,2-Sep-95
Albania,Russian Federation,11-Apr-95,29-May-96
Albania,San Marino,18-May-12,---
Albania,Serbia,26-Nov-02,14-May-04
Albania,Slovenia,23-Oct-97,22-Mar-00
Albania,Spain,5-Jun-03,14-Jan-04
Albania,Sweden,31-Mar-95,1-Apr-96
Albania,Switzerland,22-Sep-92,30-Apr-93
Albania,Tunisia,30-Oct-93,---
Albania,Turkey,1-Jun-92,26-Dec-96
Albania,Ukraine,25-Oct-02,---
Albania,United Kingdom,30-Mar-94,30-Aug-95
Albania,United States,11-Jan-95,4-Jan-98
