Reporter,Partner,Date of Signature,Date of entry into force
Argentina,Algeria,4-Oct-00,28-Jan-02
Argentina,Armenia,16-Apr-93,20-Dec-94
Argentina,Australia,23-Aug-95,11-Jan-97
Argentina,Austria,7-Aug-92,1-Jan-95
Argentina,Belgium and Luxembourg,28-Jun-90,20-May-94
Argentina,Bolivia,17-Mar-94,1-May-95
Argentina,Bulgaria,21-Sep-93,11-Mar-97
Argentina,Canada,5-Nov-91,29-Apr-93
Argentina,Chile,2-Aug-91,1-Jan-95
Argentina,China,5-Nov-92,1-Aug-94
Argentina,Costa Rica,21-May-97,1-May-01
Argentina,Croatia,2-Dec-94,1-Jun-96
Argentina,Cuba,30-Nov-95,1-Jun-97
Argentina,Czech Republic,27-Sep-96,23-Jul-98
Argentina,Denmark,6-Nov-92,2-Feb-95
Argentina,Dominican Republic,16-Mar-01,---
Argentina,Ecuador,18-Feb-94,1-Dec-95
Argentina,Egypt,11-May-92,3-Dec-93
Argentina,El Salvador,9-May-96,8-Jan-99
Argentina,Finland,5-Nov-93,3-May-96
Argentina,France,3-Jul-91,3-Mar-93
Argentina,Germany,9-Apr-91,8-Nov-93
Argentina,Greece,26-Oct-99,---
Argentina,Guatemala,21-Apr-98,7-Dec-02
Argentina,Hungary,5-Feb-93,1-Oct-97
Argentina,India,20-Aug-99,12-Aug-02
Argentina,Indonesia,7-Nov-95,1-Mar-01
Argentina,Israel,23-Jul-95,10-Apr-97
Argentina,Italy,22-May-90,14-Oct-93
Argentina,Jamaica,8-Feb-94,1-Dec-95
Argentina,"Korea, Republic of",17-May-94,24-Sep-96
Argentina,Lithuania,14-Mar-96,1-Sep-98
Argentina,Malaysia,6-Sep-94,20-Mar-96
Argentina,Mexico,13-Nov-96,22-Jun-98
Argentina,Morocco,13-Jun-96,19-Feb-00
Argentina,Netherlands,20-Oct-92,1-Oct-94
Argentina,New Zealand,27-Aug-99,---
Argentina,Nicaragua,10-Aug-98,1-Feb-01
Argentina,Panama,15-Sep-04,15-Sep-04
Argentina,Peru,10-Nov-94,24-Oct-96
Argentina,Philippines,20-Sep-99,1-Jan-02
Argentina,Poland,31-Jul-91,1-Sep-92
Argentina,Portugal,6-Oct-94,3-May-96
Argentina,Romania,29-Jul-93,1-May-95
Argentina,Russian Federation,25-Jun-98,20-Nov-00
Argentina,Senegal,6-Apr-93,1-Feb-10
Argentina,South Africa,23-Jul-98,1-Jan-01
Argentina,Spain,3-Oct-91,28-Sep-92
Argentina,Sweden,22-Nov-91,28-Sep-92
Argentina,Switzerland,12-Apr-91,6-Nov-92
Argentina,Thailand,18-Feb-00,7-Mar-02
Argentina,Tunisia,17-Jun-92,23-Jan-95
Argentina,Turkey,8-May-92,1-May-95
Argentina,Ukraine,9-Aug-95,6-May-97
Argentina,United Kingdom,11-Dec-90,19-Feb-93
Argentina,United States,14-Nov-91,20-Oct-94
Argentina,Venezuela,16-Nov-93,1-Jul-95
Argentina,VietNam,3-Jun-96,1-Jun-97
