Reporter,Partner,Date of Signature,Date of entry into force
Australia,Argentina,23-Aug-95,11-Jan-97
Australia,Chile,9-Jul-96,18-Nov-99
Australia,China,11-Jul-88,11-Jul-88
Australia,Czech Republic,30-Sep-93,29-Jun-94
Australia,Egypt,3-May-01,5-Sep-02
Australia,"Hong Kong, China",15-Sep-93,15-Oct-93
Australia,Hungary,15-Aug-91,10-May-92
Australia,India,26-Feb-99,4-May-00
Australia,Indonesia,17-Nov-92,29-Jul-93
Australia,Lao PDR,6-Apr-94,8-Apr-95
Australia,Lithuania,24-Nov-98,10-May-02
Australia,Mexico,23-Aug-05,21-Jul-07
Australia,New Zealand,16-Feb-10,---
Australia,Pakistan,7-Feb-98,14-Oct-98
Australia,Papua New Guinea,3-Sep-90,20-Oct-91
Australia,Peru,7-Dec-95,2-Feb-97
Australia,Philippines,25-Jan-95,8-Dec-95
Australia,Poland,7-May-91,27-Mar-92
Australia,Romania,21-Jun-93,22-Apr-94
Australia,Sri Lanka,12-Nov-02,---
Australia,Turkey,16-Jun-05,29-Jun-09
Australia,Uruguay,3-Sep-01,12-Dec-02
Australia,VietNam,5-Mar-91,11-Sep-91
