Reporter,Partner,Date of Signature,Date of entry into force
Austria,Albania,18-Mar-93,1-Aug-95
Austria,Algeria,17-Jun-03,1-Jan-06
Austria,Argentina,7-Aug-92,1-Jan-95
Austria,Armenia,17-Oct-01,1-Feb-03
Austria,Azerbaijan,4-Jul-00,28-May-01
Austria,Bangladesh,21-Dec-00,1-Dec-01
Austria,Belarus,16-May-01,1-Jun-02
Austria,Belize,17-Jul-01,1-Feb-02
Austria,Bolivia,4-Apr-97,1-Jul-02
Austria,Bosnia and Herzegovina,2-Oct-00,20-Oct-02
Austria,Bulgaria,22-Jan-97,1-Nov-97
Austria,Cambodia,17-Dec-04,---
Austria,Cape Verde,3-Sep-91,1-Apr-93
Austria,Chile,8-Sep-97,22-Oct-00
Austria,China,12-Sep-85,11-Oct-86
Austria,Croatia,19-Feb-97,1-Nov-99
Austria,Cuba,19-May-00,25-Nov-01
Austria,Czech Republic,15-Oct-90,1-Oct-91
Austria,Egypt,12-Apr-01,29-Apr-02
Austria,Estonia,16-May-94,1-Oct-95
Austria,Ethiopia,12-Nov-04,1-Nov-05
Austria,Georgia,1-Oct-01,1-Mar-04
Austria,Guatemala,16-Jan-06,1-Dec-12
Austria,"Hong Kong, China",11-Oct-96,1-Oct-97
Austria,Hungary,26-May-88,1-Sep-89
Austria,India,8-Nov-99,1-Mar-01
Austria,"Iran, Islamic Republic of",15-Feb-01,11-Jul-04
Austria,Jordan,23-Jan-01,25-Nov-01
Austria,Kazakhstan,12-Jan-10,---
Austria,"Korea, Republic of",14-Mar-91,1-Nov-91
Austria,Kuwait,16-Nov-96,22-Sep-98
Austria,Latvia,17-Nov-94,1-May-96
Austria,Lebanon,26-May-01,30-Sep-02
Austria,Libyan Arab Jamahiriya,18-Jun-02,1-Jan-04
Austria,Lithuania,28-Jun-96,1-Jul-97
Austria,"Macedonia, TFYR",28-Mar-01,14-Apr-02
Austria,Malaysia,12-Apr-85,1-Jan-87
Austria,Malta,29-May-02,1-Mar-04
Austria,Mexico,29-Jun-98,26-Mar-01
Austria,"Moldova, Republic of",5-Jan-01,1-Aug-02
Austria,Mongolia,19-May-01,1-May-02
Austria,Montenegro,12-Oct-01,---
Austria,Morocco,2-Nov-92,1-Jul-95
Austria,Namibia,27-May-03,1-Sep-08
Austria,Oman,1-Apr-01,1-Feb-03
Austria,Paraguay,13-Aug-93,1-Jan-00
Austria,Philippines,11-Apr-02,1-Dec-03
Austria,Poland,24-Nov-88,1-Nov-89
Austria,Romania,15-May-96,1-Jul-97
Austria,Russian Federation,8-Feb-90,1-Sep-91
Austria,Saudi Arabia,30-Jun-01,25-Jul-03
Austria,Serbia,12-Oct-01,1-Aug-02
Austria,Slovakia,15-Oct-90,1-Oct-91
Austria,Slovenia,7-Mar-01,1-Feb-02
Austria,South Africa,28-Nov-96,1-Jan-98
Austria,Tajikistan,15-Dec-10,21-Dec-12
Austria,Tunisia,1-Jun-95,1-Jan-97
Austria,Turkey,16-Sep-88,1-Jan-92
Austria,Ukraine,8-Nov-96,1-Dec-97
Austria,United Arab Emirates,17-Jun-01,1-Dec-03
Austria,Uzbekistan,2-Jun-00,18-Aug-01
Austria,VietNam,27-Mar-95,1-Oct-96
Austria,Yemen,1-Jul-02,1-Jul-04
Austria,Zimbabwe,10-Nov-00,---
