Reporter,Partner,Date of Signature,Date of entry into force
Azerbaijan,Albania,9-Feb-12,---
Azerbaijan,Austria,4-Jul-00,28-May-01
Azerbaijan,Belarus,3-Jun-10,---
Azerbaijan,Belgium and Luxembourg,18-May-04,27-May-09
Azerbaijan,Bulgaria,7-Oct-04,---
Azerbaijan,China,8-Mar-94,1-Apr-95
Azerbaijan,Croatia,2-Nov-07,30-May-08
Azerbaijan,Czech Republic,17-May-11,9-Feb-12
Azerbaijan,Egypt,24-Oct-02,---
Azerbaijan,Estonia,7-Apr-10,---
Azerbaijan,Finland,26-Feb-03,10-Dec-04
Azerbaijan,France,1-Sep-98,24-Aug-00
Azerbaijan,Georgia,8-Mar-96,10-Jul-96
Azerbaijan,Germany,22-Dec-95,29-Jul-98
Azerbaijan,Greece,21-Jun-04,3-Sep-06
Azerbaijan,Hungary,18-May-07,26-Feb-08
Azerbaijan,"Iran, Islamic Republic of",28-Oct-96,20-Jun-02
Azerbaijan,Israel,20-Feb-07,16-Jan-09
Azerbaijan,Italy,25-Sep-96,4-Feb-00
Azerbaijan,Jordan,5-May-08,---
Azerbaijan,Kazakhstan,16-Sep-96,---
Azerbaijan,"Korea, Republic of",23-Apr-07,25-Jan-08
Azerbaijan,Kyrgyzstan,28-Aug-97,28-Aug-97
Azerbaijan,Latvia,3-Oct-05,10-May-06
Azerbaijan,Lebanon,11-Feb-98,---
Azerbaijan,Lithuania,8-Jun-06,---
Azerbaijan,"Moldova,Republic of",27-Nov-97,28-Jan-99
Azerbaijan,Montenegro,16-Sep-11,---
Azerbaijan,Norway,25-Sep-96,---
Azerbaijan,Pakistan,9-Oct-95,---
Azerbaijan,Poland,26-Aug-97,10-Feb-99
Azerbaijan,Qatar,28-Aug-07,---
Azerbaijan,Romania,11-Oct-06,---
Azerbaijan,Saudi Arabia,9-Mar-05,---
Azerbaijan,Serbia,8-Jun-11,14-Dec-11
Azerbaijan,Spain,26-Oct-90,28-Nov-91
Azerbaijan,Switzerland,23-Feb-06,---
Azerbaijan,Syrian Arab Republic,8-Jul-09,4-Jan-10
Azerbaijan,Tajikistan,17-Mar-07,26-Feb-08
Azerbaijan,Turkey,25-Oct-11,---
Azerbaijan,Ukraine,21-Mar-97,9-Dec-97
Azerbaijan,United Arab Emirates,1-Nov-06,24-Aug-07
Azerbaijan,United Kingdom,4-Jan-96,11-Dec-96
Azerbaijan,United States,1-Aug-97,2-Aug-01
Azerbaijan,Uzbekistan,27-May-96,2-Nov-96
