Reporter,Partner,Date of Signature,Date of entry into force
Bangladesh,Austria,21-Dec-00,1-Dec-01
Bangladesh,Belgium and Luxembourg,22-May-81,14-Sep-87
Bangladesh,Canada,9-Feb-90,12-Mar-90
Bangladesh,China,12-Sep-96,25-Mar-97
Bangladesh,Denmark,5-Nov-09,---
Bangladesh,France,10-Sep-85,9-Oct-86
Bangladesh,Germany,6-May-81,14-Sep-86
Bangladesh,India,9-Feb-09,7-Jul-11
Bangladesh,Indonesia,9-Feb-98,22-Apr-99
Bangladesh,"Iran, Islamic Republic of",29-Apr-01,5-Dec-02
Bangladesh,Italy,20-Mar-90,20-Sep-94
Bangladesh,Japan,10-Nov-98,25-Aug-99
Bangladesh,"Korea, Democratic People's Republic of",21-Jun-99,---
Bangladesh,"Korea, Republic of",18-Jun-86,6-Oct-88
Bangladesh,Malaysia,12-Oct-94,20-Aug-96
Bangladesh,Netherlands,1-Nov-94,1-Jun-96
Bangladesh,Pakistan,24-Oct-95,---
Bangladesh,Philippines,8-Sep-97,1-Aug-98
Bangladesh,Poland,8-Jul-97,19-Nov-99
Bangladesh,Romania,13-Mar-87,31-Oct-87
Bangladesh,Singapore,24-Jun-04,19-Nov-04
Bangladesh,Switzerland,14-Oct-00,3-Sep-01
Bangladesh,Thailand,9-Jun-02,12-Jan-03
Bangladesh,Turkey,12-Apr-12,---
Bangladesh,United Arab Emirates,17-Jan-11,---
Bangladesh,United Kingdom,19-Jun-80,19-Jun-80
Bangladesh,United States,12-Mar-86,25-Jul-89
Bangladesh,Uzbekistan,18-Jul-00,24-Jan-01
Bangladesh,VietNam,1-May-05,---
