Reporter,Partner,Date of Signature,Date of entry into force
Benin,Belgium and Luxembourg,18-May-01,30-Aug-07
Benin,Burkina Faso,18-May-01,---
Benin,Canada,9-Jan-13,---
Benin,Chad,18-May-01,---
Benin,China,18-Feb-04,---
Benin,Germany,29-Jun-78,18-Jul-85
Benin,Ghana,18-May-01,---
Benin,Guinea,18-May-01,---
Benin,Lebanon,15-Jun-04,---
Benin,Mali,18-May-01,---
Benin,Mauritius,18-May-01,---
Benin,Morocco,15-Jun-04,---
Benin,Netherlands,13-Dec-01,15-Dec-07
Benin,Switzerland,20-Apr-66,6-Oct-73
Benin,United Kingdom,27-Nov-87,27-Nov-87
