Reporter,Partner,Date of Signature,Date of entry into force
Bosnia and Herzegovina,Albania,17-Jun-08,6-Apr-09
Bosnia and Herzegovina,Austria,2-Oct-00,20-Oct-02
Bosnia and Herzegovina,Belarus,29-Nov-04,22-Jan-06
Bosnia and Herzegovina,Belgium and Luxembourg,3-Mar-04,16-Sep-10
Bosnia and Herzegovina,Canada,21-Dec-79,28-Dec-80
Bosnia and Herzegovina,China,26-Jun-02,1-Jan-05
Bosnia and Herzegovina,Croatia,23-Jul-02,3-Jan-05
Bosnia and Herzegovina,Czech Republic,9-Jun-09,3-Jun-10
Bosnia and Herzegovina,Denmark,24-Mar-04,13-Jun-08
Bosnia and Herzegovina,Egypt,11-Mar-98,29-Oct-01
Bosnia and Herzegovina,Finland,1-Nov-01,8-Dec-01
Bosnia and Herzegovina,France,12-Dec-03,18-Dec-05
Bosnia and Herzegovina,Germany,18-Oct-01,11-Nov-07
Bosnia and Herzegovina,Greece,12-Dec-00,15-Jun-07
Bosnia and Herzegovina,Hungary,26-Sep-02,31-Aug-05
Bosnia and Herzegovina,India,12-Sep-06,13-Feb-08
Bosnia and Herzegovina,"Iran, Islamic Republic of",27-Jul-96,25-Aug-00
Bosnia and Herzegovina,Italy,19-May-00,10-Feb-05
Bosnia and Herzegovina,Jordan,2-Jul-06,25-Nov-11
Bosnia and Herzegovina,Kuwait,13-Jun-01,23-Dec-02
Bosnia and Herzegovina,Lithuania,7-Jun-07,16-Mar-09
Bosnia and Herzegovina,"Macedonia, TFYR",16-Feb-01,25-Apr-04
Bosnia and Herzegovina,Malaysia,16-Dec-94,27-May-95
Bosnia and Herzegovina,"Moldova, Republic of",9-Apr-03,9-Jun-08
Bosnia and Herzegovina,Netherlands,13-May-98,1-Jan-02
Bosnia and Herzegovina,Pakistan,4-Sep-01,14-May-10
Bosnia and Herzegovina,Portugal,13-Mar-02,3-Feb-09
Bosnia and Herzegovina,Qatar,1-Jun-98,5-Feb-09
Bosnia and Herzegovina,Romania,18-Jun-10,12-Jan-12
Bosnia and Herzegovina,San Marino,2-Aug-11,24-May-12
Bosnia and Herzegovina,Serbia,18-Dec-01,25-Aug-04
Bosnia and Herzegovina,Slovakia,2-Jun-08,19-Nov-09
Bosnia and Herzegovina,Slovenia,30-May-01,1-Jul-02
Bosnia and Herzegovina,Spain,25-Apr-02,21-May-03
Bosnia and Herzegovina,Sweden,31-Oct-00,1-Jan-02
Bosnia and Herzegovina,Switzerland,5-Sep-03,21-May-05
Bosnia and Herzegovina,Turkey,21-Jan-98,10-Feb-09
Bosnia and Herzegovina,Ukraine,13-Mar-02,22-Jan-04
Bosnia and Herzegovina,United Kingdom,2-Oct-02,25-Jul-03
