Reporter,Partner,Date of Signature,Date of entry into force
Brazil,Belgium and Luxembourg,6-Jan-99,---
Brazil,Chile,22-Mar-94,---
Brazil,Cuba,26-Jun-97,---
Brazil,Denmark,4-May-95,---
Brazil,Finland,28-Mar-95,---
Brazil,France,21-Mar-95,---
Brazil,Germany,21-Sep-95,---
Brazil,Italy,3-Apr-95,---
Brazil,"Korea, Republic of",1-Sep-95,---
Brazil,Netherlands,25-Nov-98,---
Brazil,Portugal,9-Feb-94,---
Brazil,Switzerland,11-Nov-94,---
Brazil,United Kingdom,19-Jul-94,---
Brazil,Venezuela,4-Jul-95,---
