Reporter,Partner,Date of Signature,Date of entry into force
Bulgaria,Albania,27-Apr-94,28-Jan-96
Bulgaria,Algeria,25-Oct-98,6-Jun-02
Bulgaria,Argentina,21-Sep-93,11-Mar-97
Bulgaria,Armenia,10-Apr-95,27-Mar-96
Bulgaria,Austria,22-Jan-97,1-Nov-97
Bulgaria,Azerbaijan,7-Oct-04,---
Bulgaria,Bahrain,26-Jun-09,---
Bulgaria,Belarus,21-Feb-96,11-Nov-97
Bulgaria,Belgium and Luxembourg,25-Oct-88,29-May-91
Bulgaria,China,26-Jun-07,10-Nov-07
Bulgaria,Croatia,25-Jun-96,20-Feb-98
Bulgaria,Cuba,16-Dec-98,24-May-00
Bulgaria,Cyprus,12-Nov-87,18-May-88
Bulgaria,Czech Republic,17-Mar-99,30-Sep-00
Bulgaria,Denmark,14-Apr-93,20-May-95
Bulgaria,Egypt,15-Mar-98,8-Jun-00
Bulgaria,Finland,3-Oct-97,16-Apr-99
Bulgaria,France,5-Apr-89,1-May-90
Bulgaria,Georgia,19-Jan-95,6-Aug-99
Bulgaria,Germany,12-Apr-86,10-Mar-88
Bulgaria,Ghana,20-Oct-89,---
Bulgaria,Greece,12-Mar-93,29-Apr-95
Bulgaria,Hungary,8-Jun-94,7-Sep-95
Bulgaria,India,29-Oct-98,23-Sep-99
Bulgaria,Indonesia,13-Sep-03,23-Jan-05
Bulgaria,"Iran, Islamic Republic of",13-Nov-98,24-Aug-03
Bulgaria,Israel,6-Dec-93,17-Dec-96
Bulgaria,Jordan,7-Aug-02,19-Apr-03
Bulgaria,Kazakhstan,15-Sep-99,20-Aug-01
Bulgaria,"Korea, DPR",16-Jun-99,---
Bulgaria,"Korea, Republic of",12-Jun-06,16-Nov-06
Bulgaria,Kuwait,29-Jan-07,14-May-10
Bulgaria,Latvia,5-Dec-03,23-Jul-04
Bulgaria,Lebanon,21-Dec-10,---
Bulgaria,Libyan Arab Jamahiriya,19-Nov-99,19-Jan-04
Bulgaria,Lithuania,21-Nov-05,25-Apr-06
Bulgaria,"Macedonia, TFYR",22-Feb-99,5-Jun-99
Bulgaria,Malta,12-Jun-84,7-Feb-85
Bulgaria,"Moldova, Republic of",17-Apr-96,12-Jun-97
Bulgaria,Mongolia,6-Jun-00,---
Bulgaria,Morocco,28-Sep-10,20-Sep-12
Bulgaria,Netherlands,6-Oct-99,1-Mar-01
Bulgaria,Nigeria,21-Dec-98,---
Bulgaria,Oman,2-Feb-07,---
Bulgaria,Pakistan,12-Feb-02,---
Bulgaria,Poland,11-Apr-94,9-Mar-95
Bulgaria,Portugal,27-May-93,20-Nov-00
Bulgaria,Romania,1-Jun-94,23-May-95
Bulgaria,Russian Federation,8-Jun-93,18-Dec-05
Bulgaria,San Marino,23-Feb-07,26-Jun-07
Bulgaria,Serbia,13-Feb-96,13-Sep-96
Bulgaria,Singapore,15-Sep-03,10-Feb-06
Bulgaria,Slovakia,24-Nov-05,18-Nov-06
Bulgaria,Slovenia,30-Jun-98,26-Nov-00
Bulgaria,Spain,5-Sep-95,22-Apr-98
Bulgaria,Sudan,3-Apr-02,---
Bulgaria,Sweden,19-Apr-94,1-Apr-95
Bulgaria,Switzerland,28-Oct-91,26-Oct-93
Bulgaria,Syrian Arab Republic,21-May-00,10-Nov-01
Bulgaria,Thailand,11-Sep-03,12-Aug-04
Bulgaria,Tunisia,24-Nov-00,15-Oct-03
Bulgaria,Turkey,6-Jul-94,22-Sep-97
Bulgaria,Ukraine,8-Dec-94,10-Dec-95
Bulgaria,United Kingdom,11-Dec-95,24-Jun-97
Bulgaria,United States,23-Sep-92,2-Jun-94
Bulgaria,Uzbekistan,24-Jun-98,31-Mar-99
Bulgaria,VietNam,19-Sep-96,15-May-98
Bulgaria,Yemen,12-Apr-02,11-Apr-03
