Reporter,Partner,Date of Signature,Date of entry into force
Cameroon,Belgium and Luxembourg,27-Mar-80,1-Nov-81
Cameroon,Egypt,24-Oct-00,---
Cameroon,Germany,29-Jun-62,21-Nov-63
Cameroon,Guinea,18-May-01,---
Cameroon,Italy,29-Jun-99,4-Jan-04
Cameroon,Mali,18-May-01,---
Cameroon,Mauritania,18-May-01,---
Cameroon,Mauritius,3-Aug-01,---
Cameroon,Morocco,24-Jan-07,---
Cameroon,Netherlands,6-Jul-65,7-May-66
Cameroon,Romania,30-Aug-80,24-Sep-81
Cameroon,Switzerland,28-Jan-63,6-Apr-64
Cameroon,Turkey,24-Apr-12,---
Cameroon,United Kingdom,4-Jun-82,7-Jun-85
Cameroon,United States,26-Feb-86,6-Apr-89
