Reporter,Partner,Date of Signature,Date of entry into force
Chile,Argentina,2-Aug-91,1-Jan-95
Chile,Australia,9-Jul-96,18-Nov-99
Chile,Austria,8-Sep-97,22-Oct-00
Chile,Belgium and Luxembourg,15-Jul-92,5-Aug-99
Chile,Bolivia,22-Sep-94,21-Jul-99
Chile,Brazil,22-Mar-94,---
Chile,China,23-Mar-94,1-Aug-95
Chile,Costa Rica,11-Jul-96,23-Jun-00
Chile,Croatia,28-Nov-94,15-Jun-96
Chile,Cuba,10-Jan-96,30-Sep-00
Chile,Czech Republic,24-Apr-95,5-Oct-96
Chile,Denmark,28-May-93,3-Nov-95
Chile,Dominican Republic,28-Nov-00,8-May-02
Chile,Ecuador,23-Oct-93,21-Feb-96
Chile,Egypt,5-Aug-99,---
Chile,El Salvador,8-Nov-96,18-Nov-99
Chile,Finland,27-May-93,1-May-96
Chile,France,14-Jul-92,24-Jun-94
Chile,Germany,21-Oct-91,8-May-99
Chile,Greece,10-Jul-96,27-Oct-02
Chile,Guatemala,8-Nov-96,10-Dec-01
Chile,Honduras,11-Nov-96,10-Jan-02
Chile,Hungary,10-Mar-97,---
Chile,Iceland,26-Jun-03,12-Aug-06
Chile,Indonesia,7-Apr-99,---
Chile,Italy,8-Mar-93,8-Feb-95
Chile,"Korea, Republic of",6-Sep-96,16-Sep-99
Chile,Lebanon,3-Oct-99,---
Chile,Malaysia,11-Nov-92,4-Aug-95
Chile,Netherlands,30-Nov-98,---
Chile,New Zealand,22-Jul-99,---
Chile,Nicaragua,8-Nov-96,10-Jan-01
Chile,Norway,1-Jun-93,7-Sep-94
Chile,Panama,8-Nov-96,21-Dec-99
Chile,Paraguay,7-Aug-95,17-Dec-97
Chile,Peru,2-Feb-00,11-Aug-01
Chile,Philippines,20-Nov-95,6-Aug-97
Chile,Poland,5-Jul-95,17-Jan-00
Chile,Portugal,28-Apr-95,24-Feb-98
Chile,Romania,4-Jul-95,27-Jul-97
Chile,South Africa,12-Nov-98,---
Chile,Spain,2-Oct-91,28-Mar-94
Chile,Sweden,24-May-93,30-Dec-95
Chile,Switzerland,24-Sep-99,2-May-02
Chile,Tunisia,23-Oct-98,---
Chile,Turkey,21-Aug-98,---
Chile,Ukraine,30-Oct-95,29-Aug-97
Chile,United Kingdom,8-Jan-96,21-Apr-97
Chile,Uruguay,25-Mar-10,---
Chile,Venezuela,2-Apr-93,25-May-95
Chile,VietNam,16-Sep-99,---
