Reporter,Partner,Date of Signature,Date of entry into force
Cuba,Algeria,22-Sep-99,---
Cuba,Argentina,30-Nov-95,1-Jun-97
Cuba,Austria,19-May-00,25-Nov-01
Cuba,Barbados,19-Feb-96,13-Aug-98
Cuba,Belarus,8-Jun-00,16-Aug-01
Cuba,Belgium and Luxembourg,19-May-98,---
Cuba,Belize,8-Apr-98,16-Apr-99
Cuba,Bolivia,6-May-95,23-Aug-98
Cuba,Brazil,26-Jun-97,---
Cuba,Bulgaria,16-Dec-98,24-May-00
Cuba,Cambodia,26-Sep-01,---
Cuba,Cape Verde,22-May-97,8-Jan-03
Cuba,Chile,10-Jan-96,30-Sep-00
Cuba,China,20-Apr-07,1-Dec-08
Cuba,Croatia,16-Feb-01,---
Cuba,Denmark,19-Feb-01,---
Cuba,Dominican Republic,15-Nov-99,---
Cuba,Finland,17-Dec-01,---
Cuba,France,25-Apr-97,6-Nov-99
Cuba,Germany,30-Apr-96,22-Nov-98
Cuba,Ghana,2-Nov-99,---
Cuba,Greece,18-Jun-96,18-Oct-97
Cuba,Guatemala,20-Aug-99,10-Aug-02
Cuba,Guyana,22-Oct-99,---
Cuba,Honduras,9-Aug-01,---
Cuba,Hungary,22-Oct-99,24-Nov-03
Cuba,Indonesia,19-Sep-97,29-Sep-99
Cuba,Italy,7-May-93,23-Aug-95
Cuba,Jamaica,31-May-97,---
Cuba,Lao PDR,28-Apr-97,10-Jun-98
Cuba,Lebanon,14-Dec-95,7-Jan-99
Cuba,Malaysia,26-Sep-97,27-Oct-99
Cuba,Mexico,30-May-01,29-Mar-02
Cuba,Mongolia,26-Mar-99,18-Oct-00
Cuba,Mozambique,20-Oct-01,26-Feb-02
Cuba,Namibia,27-Jun-97,---
Cuba,Netherlands,2-Nov-99,1-Nov-01
Cuba,Panama,27-Jan-99,11-May-99
Cuba,Paraguay,21-Nov-00,6-Dec-02
Cuba,Peru,10-Oct-00,25-Nov-01
Cuba,Portugal,8-Jul-98,18-Jun-99
Cuba,Qatar,6-Nov-01,---
Cuba,Romania,27-Jan-96,22-May-97
Cuba,Russian Federation,7-Jul-93,8-Jul-96
Cuba,San Marino,1-Jan-02,---
Cuba,Slovakia,22-Mar-97,5-Dec-97
Cuba,South Africa,8-Dec-95,7-Apr-97
Cuba,Spain,27-May-94,9-Jun-95
Cuba,Suriname,7-Jan-99,---
Cuba,Switzerland,28-Jun-96,7-Nov-97
Cuba,Trinidad and Tobago,26-May-99,7-Jan-00
Cuba,Turkey,22-Dec-97,23-Oct-99
Cuba,Uganda,1-Jan-02,---
Cuba,Ukraine,20-May-95,4-Dec-96
Cuba,United Kingdom,30-Jan-95,11-May-95
Cuba,Venezuela,11-Dec-96,15-Apr-04
Cuba,VietNam,12-Oct-95,1-Oct-96
Cuba,Zambia,22-Jan-00,---
