Reporter,Partner,Date of Signature,Date of entry into force
Czech Republic,Albania,8-Oct-10,---
Czech Republic,Argentina,27-Sep-96,23-Jul-98
Czech Republic,Australia,30-Sep-93,29-Jun-94
Czech Republic,Austria,15-Oct-90,1-Oct-91
Czech Republic,Azerbaijan,17-May-11,9-Feb-12
Czech Republic,Bahrain,15-Oct-07,11-Dec-09
Czech Republic,Belarus,14-Oct-96,9-Apr-98
Czech Republic,Belgium and Luxembourg,24-Apr-89,13-Feb-92
Czech Republic,Bosnia and Herzegovina,9-Jun-09,3-Jun-10
Czech Republic,Bulgaria,17-Mar-99,30-Sep-00
Czech Republic,Cambodia,12-May-08,23-Oct-09
Czech Republic,Canada,6-May-09,22-Jan-12
Czech Republic,Chile,24-Apr-95,5-Oct-96
Czech Republic,China,8-Dec-05,9-Jan-06
Czech Republic,Costa Rica,28-Oct-98,5-Mar-01
Czech Republic,Croatia,8-Sep-08,31-Aug-09
Czech Republic,Cyprus,15-Jun-01,25-Sep-02
Czech Republic,Egypt,29-May-93,4-Jun-94
Czech Republic,El Salvador,29-Nov-99,28-Mar-01
Czech Republic,Finland,6-Nov-90,23-Oct-91
Czech Republic,France,13-Sep-90,27-Sep-91
Czech Republic,Georgia,29-Aug-09,13-Mar-11
Czech Republic,Germany,2-Oct-90,2-Aug-92
Czech Republic,Greece,3-Jun-91,30-Dec-92
Czech Republic,Guatemala,20-Aug-09,4-May-11
Czech Republic,Hungary,14-Jan-93,25-May-95
Czech Republic,India,8-Jul-10,24-Mar-11
Czech Republic,Indonesia,17-Sep-98,21-Jun-99
Czech Republic,Israel,23-Sep-97,16-Mar-99
Czech Republic,Jordan,6-Apr-09,28-Jan-10
Czech Republic,Kazakhstan,25-Nov-10,---
Czech Republic,"Korea, DPR",17-Dec-08,10-Jan-10
Czech Republic,"Korea, Republic of",27-Apr-92,16-Mar-95
Czech Republic,Kuwait,31-Oct-10,---
Czech Republic,Latvia,25-Oct-94,1-Aug-95
Czech Republic,Lebanon,20-Mar-10,---
Czech Republic,Lithuania,27-Oct-94,12-Jul-95
Czech Republic,"Macedonia, TFYR",5-May-09,29-Oct-10
Czech Republic,Malaysia,9-Sep-96,3-Dec-98
Czech Republic,Mauritius,5-Apr-99,27-Apr-00
Czech Republic,Mexico,4-Apr-02,13-Mar-04
Czech Republic,"Moldova, Republic of",2-Sep-08,14-Sep-11
Czech Republic,Mongolia,13-Feb-98,7-May-99
Czech Republic,Montenegro,3-Jun-10,---
Czech Republic,Morocco,19-Mar-10,18-Dec-12
Czech Republic,Netherlands,29-Apr-91,1-Oct-92
Czech Republic,Nicaragua,2-Apr-02,24-Feb-04
Czech Republic,Norway,21-May-91,6-Aug-92
Czech Republic,Panama,27-Aug-99,20-Oct-00
Czech Republic,Paraguay,21-Oct-98,24-Mar-00
Czech Republic,Peru,16-Mar-94,6-Mar-95
Czech Republic,Philippines,5-Apr-95,4-Apr-96
Czech Republic,Poland,16-Jul-93,29-Jun-94
Czech Republic,Portugal,12-Nov-93,3-Aug-94
Czech Republic,Romania,22-Jan-08,30-Jul-09
Czech Republic,Russian Federation,5-Apr-94,6-Jun-96
Czech Republic,Saudi Arabia,18-Nov-09,13-Mar-11
Czech Republic,Serbia,4-Jun-10,16-Mar-11
Czech Republic,Singapore,8-Apr-95,8-Oct-95
Czech Republic,South Africa,14-Dec-98,17-Sep-99
Czech Republic,Spain,12-Dec-90,28-Nov-91
Czech Republic,Sri Lanka,28-Mar-11,---
Czech Republic,Sweden,13-Nov-90,23-Sep-91
Czech Republic,Switzerland,5-Oct-90,7-Aug-91
Czech Republic,Syrian Arab Republic,21-Nov-08,14-Jul-09
Czech Republic,Tajikistan,11-Feb-94,6-Dec-95
Czech Republic,Thailand,12-Feb-94,4-May-95
Czech Republic,Tunisia,6-Jan-97,8-Jul-98
Czech Republic,Turkey,29-Apr-09,18-Mar-12
Czech Republic,Ukraine,16-Sep-08,17-May-10
Czech Republic,United Arab Emirates,23-Nov-94,25-Dec-95
Czech Republic,United Kingdom,10-Jul-90,26-Oct-92
Czech Republic,United States,10-Dec-03,10-Aug-04
Czech Republic,Uruguay,15-May-09,9-Feb-12
Czech Republic,Uzbekistan,24-Aug-09,16-Feb-11
Czech Republic,Venezuela,27-Apr-95,23-Jul-96
Czech Republic,VietNam,21-Mar-08,21-Sep-09
Czech Republic,Yemen,20-May-08,4-Sep-09
Czech Republic,Zimbabwe,13-Sep-99,---
