Reporter,Partner,Date of Signature,Date of entry into force
Ecuador,Argentina,18-Feb-94,1-Dec-95
Ecuador,Bolivia,25-May-95,15-Aug-97
Ecuador,Canada,29-Apr-96,6-Jun-97
Ecuador,Chile,23-Oct-93,21-Feb-96
Ecuador,China,21-Mar-94,1-Jul-97
Ecuador,Costa Rica,6-Dec-01,---
Ecuador,France,7-Sep-94,10-Jun-96
Ecuador,Germany,21-Mar-96,12-Feb-99
Ecuador,Italy,25-Oct-01,1-Nov-05
Ecuador,Netherlands,27-Jun-99,1-Jul-01
Ecuador,Peru,7-Apr-99,9-Dec-99
Ecuador,Russian Federation,25-Apr-96,---
Ecuador,Spain,26-Jun-96,18-Jun-97
Ecuador,Sweden,31-May-01,1-Mar-02
Ecuador,Switzerland,2-May-68,9-Nov-69
Ecuador,United Kingdom,10-May-94,24-Aug-95
Ecuador,United States,27-Aug-93,11-May-97
Ecuador,Venezuela,18-Nov-93,1-Feb-95
