Reporter,Partner,Date of Signature,Date of entry into force
El Salvador,Argentina,9-May-96,8-Jan-99
El Salvador,Belgium and Luxembourg,12-Oct-99,12-Nov-02
El Salvador,Belize,4-Dec-01,----
El Salvador,Canada,31-May-99,----
El Salvador,Chile,8-Nov-96,29-Mar-97
El Salvador,Costa Rica,21-Nov-01,----
El Salvador,Czech Republic,29-Nov-99,28-Mar-01
El Salvador,Ecuador,16-May-94,14-Jan-96
El Salvador,Finland,20-May-02,20-Feb-03
El Salvador,France,20-Sep-78,12-Dec-92
El Salvador,Germany,11-Dec-97,15-Apr-01
El Salvador,Israel,3-Apr-00,7-Jul-03
El Salvador,"Korea, Republic of",6-Jul-98,25-May-02
El Salvador,Morocco,21-Apr-99,11-Apr-02
El Salvador,Netherlands,12-Oct-99,1-Mar-01
El Salvador,Nicaragua,23-Jan-99,8-Jul-00
El Salvador,Paraguay,30-Jan-98,8-Nov-98
El Salvador,Peru,13-Jun-96,15-Dec-96
El Salvador,Spain,14-Feb-95,20-Feb-96
El Salvador,Switzerland,8-Dec-94,16-Sep-96
El Salvador,Taiwan Province of China,30-Aug-96,25-Feb-97
El Salvador,United Kingdom,14-Oct-99,1-Dec-00
El Salvador,United States,10-Mar-99,----
El Salvador,Uruguay,24-Aug-00,23-May-03
