Reporter,Partner,Date of Signature,Date of entry into force
Finland,Albania,24-Jun-97,20-Feb-99
Finland,Algeria,13-Jan-05,25-Feb-07
Finland,Argentina,5-Nov-93,3-May-96
Finland,Armenia,5-Oct-04,20-Mar-07
Finland,Azerbaijan,26-Feb-03,10-Dec-04
Finland,Belarus,8-Jun-06,10-Apr-08
Finland,Bosnia and Herzegovina,1-Nov-01,8-Dec-01
Finland,Brazil,28-Mar-95,---
Finland,Bulgaria,3-Oct-97,16-Apr-99
Finland,Chile,27-May-93,1-May-96
Finland,China,15-Nov-04,15-Nov-06
Finland,Costa Rica,28-Nov-01,---
Finland,Croatia,1-Jun-99,1-Nov-02
Finland,Cuba,17-Dec-01,---
Finland,Czech Republic,6-Nov-90,23-Oct-91
Finland,Dominican Republic,27-Nov-01,21-Apr-07
Finland,Egypt,3-Mar-04,5-Feb-05
Finland,El Salvador,20-May-02,20-Feb-03
Finland,Estonia,13-Feb-92,2-Dec-92
Finland,Ethiopia,23-Feb-06,3-May-07
Finland,Georgia,24-Nov-06,30-Dec-07
Finland,Guatemala,14-Apr-05,6-Jan-07
Finland,Hungary,6-Jun-88,12-May-89
Finland,India,7-Nov-02,9-Apr-03
Finland,Indonesia,12-Sep-06,2-Aug-08
Finland,"Iran, Islamic Republic of",4-Nov-02,25-Jun-04
Finland,Jordan,1-Nov-06,18-Dec-07
Finland,Kazakhstan,9-Jan-07,---
Finland,Kenya,1-Sep-08,---
Finland,"Korea, Republic of",21-Oct-93,11-May-96
Finland,Kuwait,10-Mar-96,21-May-97
Finland,Kyrgyzstan,3-Apr-03,8-Dec-04
Finland,Latvia,5-Mar-92,7-Dec-92
Finland,Lebanon,25-Aug-97,12-Jan-00
Finland,Lithuania,12-Jun-92,8-Jan-93
Finland,"Macedonia, TFYR",25-Jan-01,22-Mar-02
Finland,Malaysia,15-Apr-85,3-Jan-88
Finland,Mauritius,12-Sep-07,17-Oct-08
Finland,Mexico,22-Feb-99,30-Aug-00
Finland,"Moldova, Republic of",25-Aug-95,21-Jun-97
Finland,Mongolia,15-May-07,19-Jun-08
Finland,Montenegro,14-Nov-08,29-Apr-10
Finland,Morocco,1-Oct-01,6-Apr-03
Finland,Mozambique,3-Sep-04,21-Sep-05
Finland,Namibia,31-Oct-02,21-May-05
Finland,Nepal,3-Feb-09,28-Jan-11
Finland,Nicaragua,17-Sep-03,---
Finland,Nigeria,22-Jun-05,20-Mar-07
Finland,Oman,27-Sep-97,20-Feb-99
Finland,Panama,19-Feb-09,11-Nov-10
Finland,Peru,2-May-95,14-Jun-96
Finland,Philippines,25-Mar-98,16-Apr-99
Finland,Poland,25-Nov-96,13-Mar-98
Finland,Qatar,12-Nov-01,8-May-03
Finland,Romania,26-Mar-92,6-Jan-93
Finland,Russian Federation,8-Feb-89,15-Aug-91
Finland,Serbia,23-May-05,29-Oct-05
Finland,Slovakia,6-Nov-90,23-Oct-91
Finland,Slovenia,1-Jun-98,3-Jun-00
Finland,South Africa,14-Sep-98,3-Oct-99
Finland,Sri Lanka,27-Apr-85,25-Oct-87
Finland,"Tanzania, United Republic",19-Jun-01,30-Oct-02
Finland,Thailand,18-Mar-94,18-May-96
Finland,Tunisia,4-Oct-01,4-Sep-03
Finland,Turkey,13-May-93,23-Apr-95
Finland,Ukraine,7-Oct-04,7-Dec-05
Finland,United Arab Emirates,12-Mar-96,15-May-97
Finland,Uruguay,21-Mar-02,18-Jun-04
Finland,Uzbekistan,1-Oct-92,22-Oct-93
Finland,VietNam,21-Feb-08,4-Jun-09
Finland,Zambia,7-Sep-05,---
