Reporter,Partner,Date of Signature,Date of entry into force
Gambia,Guinea,21-Jun-02,---
Gambia,Guinea-Bissau,21-Jun-02,---
Gambia,"Iran, Islamic Republic of",20-Jun-07,---
Gambia,Libyan Arab Jamahiriya,26-Jul-95,---
Gambia,Mali,14-May-04,---
Gambia,Mauritania,9-May-01,---
Gambia,Morocco,20-Feb-06,---
Gambia,Netherlands,25-Sep-02,1-Apr-07
Gambia,Qatar,17-May-02,---
Gambia,Spain,17-Dec-08,---
Gambia,Switzerland,22-Nov-93,30-Mar-94
Gambia,Taiwan Province of China,8-Jun-10,---
Gambia,Turkey,12-Mar-13,---
Gambia,United Kingdom,2-Jul-02,---
