Reporter,Partner,Date of Signature,Date of entry into force
Germany,Afghanistan,20-Apr-05,12-Oct-07
Germany,Albania,31-Oct-91,18-Aug-95
Germany,Algeria,11-Mar-96,30-May-02
Germany,Angola,30-Oct-03,1-Mar-07
Germany,Antigua and Barbuda,5-Nov-98,28-Feb-01
Germany,Argentina,9-Apr-91,8-Nov-93
Germany,Armenia,21-Dec-95,4-Aug-00
Germany,Azerbaijan,22-Dec-95,29-Jul-98
Germany,Bahrain,5-Feb-07,27-May-10
Germany,Bangladesh,6-May-81,14-Sep-86
Germany,Barbados,2-Dec-94,11-May-02
Germany,Belarus,2-Apr-93,23-Sep-96
Germany,Benin,29-Jun-78,18-Jul-85
Germany,Bolivia,23-Mar-87,9-Nov-90
Germany,Bosnia and Herzegovina,18-Oct-01,11-Nov-07
Germany,Botswana,23-May-00,6-Aug-07
Germany,Brazil,21-Sep-95,---
Germany,Brunei Darussalam,30-Mar-98,15-Jun-04
Germany,Bulgaria,12-Apr-86,10-Mar-88
Germany,Burkina Faso,22-Oct-96,21-Nov-09
Germany,Burundi,10-Sep-84,9-Dec-87
Germany,Cambodia,15-Feb-99,14-Apr-02
Germany,Cameroon,29-Jun-62,21-Nov-63
Germany,Cape Verde,18-Jan-90,15-Dec-93
Germany,Central African Republic,23-Aug-65,21-Jan-68
Germany,Chad,11-Apr-67,23-Nov-68
Germany,Chile,21-Oct-91,8-May-99
Germany,China,1-Dec-03,11-Nov-05
Germany,Congo,22-Nov-10,---
Germany,"Congo, DR",18-Mar-69,22-Jul-71
Germany,Costa Rica,13-Sep-94,24-Apr-98
Germany,Côte d' Ivoire,27-Oct-66,10-Jun-68
Germany,Croatia,21-Mar-97,28-Sep-00
Germany,Cuba,30-Apr-96,22-Nov-98
Germany,Czech Republic,2-Oct-90,2-Aug-92
Germany,Dominica,1-Oct-84,11-May-86
Germany,Ecuador,21-Mar-96,12-Feb-99
Germany,Egypt,16-Jun-05,22-Nov-09
Germany,El Salvador,11-Dec-97,15-Apr-01
Germany,Estonia,12-Nov-92,12-Jan-97
Germany,Ethiopia,19-Jan-04,4-May-06
Germany,Gabon,15-Sep-98,4-Jul-07
Germany,Georgia,25-Jun-93,27-Sep-98
Germany,Ghana,24-Feb-95,23-Nov-98
