Reporter,Partner,Date of Signature,Date of entry into force
Greece,Albania,1-Aug-91,4-Jan-95
Greece,Algeria,20-Feb-00,21-Sep-07
Greece,Argentina,26-Oct-99,---
Greece,Armenia,25-May-93,28-Apr-95
Greece,Azerbaijan,21-Jun-04,3-Sep-06
Greece,Bosnia and Herzegovina,12-Dec-00,15-Jun-07
Greece,Bulgaria,12-Mar-93,29-Apr-95
Greece,Chile,10-Jul-96,27-Oct-02
Greece,China,25-Jun-92,21-Dec-93
Greece,"Congo, DR",26-Apr-91,---
Greece,Croatia,18-Oct-96,21-Oct-98
Greece,Cuba,18-Jun-96,18-Oct-97
Greece,Cyprus,30-Mar-92,26-Feb-93
Greece,Czech Republic,3-Jun-91,31-Dec-92
Greece,Egypt,16-Jul-93,6-Apr-95
Greece,Estonia,17-Apr-97,7-Jul-98
Greece,Georgia,9-Nov-94,3-Aug-96
Greece,Germany,27-Mar-61,15-Jul-63
Greece,Hungary,26-May-89,1-Feb-92
Greece,India,26-Apr-07,10-Apr-08
Greece,"Iran, Islamic Republic of",13-Mar-02,9-Jan-09
Greece,Jordan,21-Feb-05,8-Feb-07
Greece,Kazakhstan,26-Jun-02,---
Greece,"Korea, Republic of",25-Jan-95,4-Nov-95
Greece,Latvia,20-Jul-95,9-Feb-98
Greece,Lebanon,24-Jul-97,17-Jul-99
Greece,Lithuania,19-Jul-96,10-Jul-97
Greece,Mexico,30-Nov-00,26-Sep-02
Greece,"Moldova, Republic of",23-Mar-98,27-Feb-00
Greece,Morocco,16-Feb-94,28-Jun-00
Greece,Poland,14-Oct-92,20-Feb-95
Greece,Romania,23-May-97,11-Jun-98
Greece,Russian Federation,30-Jun-93,23-Feb-97
Greece,Serbia,25-Jun-97,13-Mar-98
Greece,Slovakia,3-Jun-91,31-Dec-92
Greece,Slovenia,29-May-97,11-Feb-00
Greece,South Africa,19-Nov-98,5-Sep-01
Greece,Syrian Arab Republic,23-Feb-03,27-Feb-04
Greece,Tunisia,31-Oct-92,21-Apr-95
Greece,Turkey,20-Jan-00,24-Nov-01
Greece,Ukraine,1-Sep-94,4-Jan-97
Greece,Uzbekistan,1-Apr-97,8-May-98
Greece,VietNam,13-Oct-08,---
