Reporter,Partner,Date of Signature,Date of entry into force
Guatemala,Argentina,21-Apr-98,7-Dec-02
Guatemala,Austria,16-Jan-06,1-Dec-12
Guatemala,Belgium and Luxembourg,14-Apr-05,---
Guatemala,Chile,8-Nov-96,10-Dec-01
Guatemala,Cuba,20-Aug-99,10-Aug-02
Guatemala,Czech Republic,20-Aug-09,4-May-11
Guatemala,Finland,14-Apr-05,6-Jan-07
Guatemala,France,27-May-98,28-Oct-01
Guatemala,Germany,17-Oct-03,29-Oct-06
Guatemala,Israel,7-Nov-06,15-Jan-09
Guatemala,Italy,8-Sep-03,3-Mar-08
Guatemala,"Korea, Republic of",1-Aug-00,17-Aug-02
Guatemala,Netherlands,18-May-01,1-Sep-02
Guatemala,Spain,9-Dec-02,21-May-04
Guatemala,Sweden,12-Feb-04,1-Jul-05
Guatemala,Switzerland,9-Sep-02,3-May-05
Guatemala,Taiwan Province of China,2-Nov-99,1-Dec-01
