Reporter,Partner,Date of Signature,Date of entry into force
Hong Kong Special Administrative Region of China,Austria,11-Oct-96,1-Oct-97
Hong Kong Special Administrative Region of China,Belgium and Luxembourg,7-Oct-96,18-Jun-01
Hong Kong Special Administrative Region of China,Denmark,2-Feb-94,4-Mar-94
Hong Kong Special Administrative Region of China,France,30-Nov-95,30-May-97
Hong Kong Special Administrative Region of China,Germany,31-Jan-96,19-Feb-98
Hong Kong Special Administrative Region of China,Italy,28-Nov-95,2-Feb-98
Hong Kong Special Administrative Region of China,Japan,15-May-97,18-Jun-97
Hong Kong Special Administrative Region of China,"Korea, Republic of",30-Jun-97,30-Jul-97
Hong Kong Special Administrative Region of China,Netherlands,19-Nov-92,1-Sep-93
Hong Kong Special Administrative Region of China,New Zealand,6-Jul-95,5-Aug-95
Hong Kong Special Administrative Region of China,Sweden,27-May-94,26-Jun-94
Hong Kong Special Administrative Region of China,Switzerland,22-Sep-94,22-Oct-94
Hong Kong Special Administrative Region of China,Thailand,19-Nov-05,18-Apr-06
Hong Kong Special Administrative Region of China,United Kingdom,30-Jul-98,12-Apr-99
