Reporter,Partner,Date of Signature,Date of entry into force
India,Argentina,20-Aug-99,12-Aug-02
India,Armenia,23-May-03,30-May-06
India,Australia,26-Feb-99,4-May-00
India,Austria,8-Nov-99,1-Mar-01
India,Bahrain,13-Jan-04,5-Dec-07
India,Bangladesh,9-Feb-09,7-Jul-11
India,Belarus,26-Nov-02,23-Nov-03
India,Belgium and Luxembourg,31-Oct-97,8-Jan-01
India,Bosnia and Herzegovina,12-Sep-06,13-Feb-08
India,Brunei Darussalam,22-May-08,18-Jan-09
India,Bulgaria,29-Oct-98,23-Sep-99
India,China,21-Nov-06,1-Aug-07
India,Colombia,10-Nov-09,2-Jul-12
India,"Congo, DR",13-Apr-10,---
India,Croatia,4-May-01,19-Jan-02
India,Cyprus,9-Apr-02,12-Jan-04
India,Czech Republic,8-Jul-10,24-Mar-11
India,Denmark,6-Sep-95,28-Aug-96
India,Djibouti,19-May-03,---
India,Egypt,9-Apr-97,22-Nov-00
India,Ethiopia,5-Jul-07,---
India,Finland,7-Nov-02,9-Apr-03
India,France,2-Sep-97,17-May-00
India,Germany,10-Jul-95,13-Jul-98
India,Ghana,18-Aug-02,---
India,Greece,26-Apr-07,10-Apr-08
India,Hungary,3-Nov-03,2-Jan-06
India,Iceland,29-Jun-07,16-Dec-09
India,Indonesia,10-Feb-99,22-Jan-04
India,Israel,29-Jan-96,18-Feb-97
India,Italy,23-Nov-95,26-Mar-98
India,Jordan,30-Nov-06,22-Jan-09
India,Kazakhstan,9-Dec-96,26-Jul-01
India,"Korea, Republic of",26-Feb-96,7-May-96
India,Kuwait,27-Nov-01,28-Jun-03
India,Kyrgyzstan,16-May-97,10-Apr-98
India,Lao PDR,9-Nov-00,5-Jan-03
India,Latvia,18-Feb-10,27-Nov-10
India,Libyan Arab Jamahiriya,26-May-07,---
India,Lithuania,31-Mar-11,1-Dec-11
India,"Macedonia, TFYR",17-Mar-08,17-Nov-08
India,Malaysia,1-Aug-95,12-Apr-97
India,Mauritius,4-Sep-98,20-Jun-00
India,Mexico,21-May-07,23-Feb-08
India,Mongolia,3-Jan-01,29-Apr-02
India,Montenegro,31-Jan-03,---
India,Morocco,13-Feb-99,22-Feb-01
India,Mozambique,19-Feb-09,---
India,Myanmar,24-Jun-08,8-Feb-09
India,Nepal,21-Oct-11,---
India,Netherlands,6-Nov-95,1-Dec-96
India,Oman,2-Apr-97,13-Oct-00
India,Philippines,28-Jan-00,29-Jan-01
India,Poland,7-Oct-96,31-Dec-97
India,Portugal,28-Jun-00,19-Jul-02
India,Qatar,7-Apr-99,15-Dec-99
India,Romania,16-Feb-09,---
India,Russian Federation,23-Dec-94,5-Aug-96
India,Saudi Arabia,25-Jan-06,20-May-08
India,Senegal,3-Jul-08,---
India,Serbia,31-Jan-03,24-Feb-09
India,Seychelles,2-Jun-10,---
India,Slovakia,25-Sep-06,27-Sep-07
India,Slovenia,14-Jun-11,---
India,Spain,30-Sep-97,15-Dec-98
India,Sri Lanka,22-Jan-97,13-Feb-98
India,Sudan,22-Oct-03,---
India,Sweden,4-Jul-00,1-Apr-01
India,Switzerland,4-Apr-97,16-Feb-00
India,Syrian Arab Republic,18-Jun-08,22-Jan-09
India,Taiwan Province of China,17-Oct-02,28-Nov-02
India,Tajikistan,13-Dec-95,14-Nov-03
India,Thailand,10-Jul-00,13-Jul-01
India,Trinidad and Tobago,12-Mar-07,7-Oct-07
India,Turkey,17-Sep-98,18-Oct-07
India,Turkmenistan,20-Sep-95,27-Feb-06
India,Ukraine,1-Dec-01,12-Aug-03
India,United Kingdom,14-Mar-94,6-Jan-95
India,Uruguay,11-Feb-08,---
India,Uzbekistan,18-May-99,28-Jul-00
India,VietNam,8-Mar-97,1-Dec-99
India,Yemen,1-Oct-02,10-Feb-04
India,Zimbabwe,10-Feb-99,---
