Reporter,Partner,Date of Signature,Date of entry into force
Italy,Albania,12-Sep-91,29-Jan-96
Italy,Algeria,18-May-91,26-Nov-93
Italy,Angola,16-Jul-02,21-May-07
Italy,Argentina,22-May-90,14-Oct-93
Italy,Armenia,23-Jul-98,13-Jan-03
Italy,Azerbaijan,25-Sep-96,4-Feb-00
Italy,Bahrain,29-Oct-06,28-Jun-09
Italy,Bangladesh,20-Mar-90,20-Sep-94
Italy,Barbados,25-Oct-95,21-Jul-97
Italy,Belarus,25-Jul-95,12-Aug-97
Italy,Belize,23-Nov-05,---
Italy,Bolivia,30-Apr-90,22-Feb-92
Italy,Bosnia and Herzegovina,19-May-00,10-Feb-05
Italy,Brazil,3-Apr-95,---
Italy,Cameroon,29-Jun-99,4-Jan-04
Italy,Cape Verde,12-Jun-97,---
Italy,Chad,11-Jun-69,11-Jun-69
Italy,Chile,8-Mar-93,8-Feb-95
Italy,China,28-Jan-85,28-Aug-87
Italy,Congo,17-Mar-94,10-Jan-03
Italy,"Congo, DR",13-Sep-06,---
Italy,Côte d' Ivoire,23-Jul-69,---
Italy,Croatia,5-Nov-96,12-Jun-98
Italy,Cuba,7-May-93,23-Aug-95
Italy,Cyprus,27-Apr-04,---
Italy,Djibouti,8-Feb-06,---
Italy,Dominican Republic,12-Jun-06,18-Jul-07
Italy,Ecuador,25-Oct-01,1-Nov-05
Italy,Egypt,2-Mar-89,1-May-94
Italy,Eritrea,6-Feb-96,14-Jul-03
Italy,Estonia,20-Mar-97,9-May-00
Italy,Ethiopia,23-Dec-94,8-May-97
Italy,Gabon,18-Nov-68,7-Jul-06
Italy,Georgia,15-May-97,26-Jul-99
Italy,Ghana,25-Jun-98,---
Italy,Guatemala,8-Sep-03,3-Mar-08
Italy,Guinea,20-Feb-64,20-Feb-64
Italy,"Hong Kong, China",28-Nov-95,2-Feb-98
Italy,India,23-Nov-95,26-Mar-98
Italy,Indonesia,25-Apr-91,25-Jun-95
Italy,"Iran, Islamic Republic of",10-Mar-99,27-Jul-05
Italy,Jamaica,29-Sep-93,9-Nov-95
Italy,Jordan,30-Sep-01,30-Sep-01
Italy,Kazakhstan,22-Sep-94,12-Jul-96
Italy,Kenya,16-Sep-96,4-Aug-99
Italy,"Korea, DPR",27-Sep-00,---
Italy,"Korea, Republic of",10-Jan-89,26-Jun-92
Italy,Kuwait,17-Dec-87,21-May-90
Italy,Lebanon,7-Nov-97,9-Feb-00
Italy,Libyan Arab Jamahiriya,13-Dec-00,20-Oct-04
Italy,"Macedonia, TFYR",26-Feb-97,28-May-99
Italy,Malawi,28-Aug-03,---
Italy,Malaysia,4-Jan-88,25-Oct-90
Italy,Malta,20-Dec-02,7-Feb-03
Italy,Mauritania,5-Apr-03,---
Italy,Mexico,24-Nov-99,5-Dec-02
Italy,"Moldova, Republic of",19-Sep-97,26-Aug-01
Italy,Mongolia,15-Jan-93,1-Sep-95
Italy,Morocco,18-Jul-90,26-Apr-00
Italy,Mozambique,14-Dec-98,17-Nov-03
Italy,Namibia,7-Sep-04,---
Italy,Nicaragua,20-Apr-04,---
Italy,Nigeria,27-Sep-90,22-Aug-05
Italy,Oman,23-Jun-93,23-Jan-97
Italy,Pakistan,19-Jul-97,22-Jun-01
Italy,Panama,6-Feb-09,12-Oct-10
Italy,Paraguay,15-Jul-99,---
Italy,Peru,5-May-94,18-Oct-95
Italy,Philippines,17-Jun-88,4-Nov-93
Italy,Poland,10-May-89,9-Jan-93
Italy,Qatar,22-Mar-00,8-Jan-04
Italy,Russian Federation,17-Dec-02,17-Dec-02
Italy,Saudi Arabia,10-Sep-96,22-May-98
Italy,Senegal,13-Oct-00,---
Italy,Serbia,11-Dec-00,18-May-01
Italy,South Africa,9-Jun-97,16-Mar-99
Italy,Sri Lanka,25-Mar-87,20-Mar-90
Italy,Sudan,19-Nov-05,---
Italy,Syrian Arab Republic,20-Feb-02,13-Nov-03
Italy,"Tanzania, United Republic",21-Aug-01,25-Apr-03
Italy,Tunisia,17-Oct-85,24-Jun-89
Italy,Turkey,22-Mar-95,2-Mar-04
Italy,Turkmenistan,25-Nov-09,---
Italy,Uganda,12-Dec-97,24-Sep-99
Italy,Ukraine,2-May-95,12-Sep-97
Italy,United Arab Emirates,22-Jan-95,29-Apr-97
Italy,Uruguay,21-Feb-90,2-Mar-98
Italy,Uzbekistan,17-Sep-97,14-Oct-99
Italy,Venezuela,14-Feb-01,---
Italy,VietNam,18-May-90,6-May-94
Italy,Yemen,25-Nov-04,3-May-08
Italy,Zambia,20-Apr-03,---
Italy,Zimbabwe,16-Apr-99,---
