Reporter,Partner,Date of Signature,Date of entry into force
Jordan,Algeria,1-Aug-96,5-Jun-97
Jordan,Austria,23-Jan-01,25-Nov-01
Jordan,Azerbaijan,5-May-08,---
Jordan,Bahrain,8-Feb-00,5-Jun-00
Jordan,Belarus,20-Dec-02,22-Dec-05
Jordan,Bosnia and Herzegovina,2-Jul-06,25-Nov-11
Jordan,Bulgaria,7-Aug-02,19-Apr-03
Jordan,Canada,28-Jun-09,14-Dec-09
Jordan,China,15-Nov-01,---
Jordan,"Congo, DR",23-Jun-04,---
Jordan,Croatia,10-Oct-99,27-Apr-00
Jordan,Cyprus,20-Dec-09,19-Jul-10
Jordan,Czech Republic,6-Apr-09,28-Jan-10
Jordan,Egypt,8-May-96,11-Apr-98
Jordan,Estonia,10-May-10,---
Jordan,Finland,1-Nov-06,18-Dec-07
Jordan,France,23-Feb-78,18-Oct-79
Jordan,Germany,13-Nov-07,28-Aug-10
Jordan,Greece,21-Feb-05,8-Feb-07
Jordan,Hungary,14-Jun-07,9-Mar-08
Jordan,India,30-Nov-06,22-Jan-09
Jordan,Indonesia,12-Nov-96,9-Feb-99
Jordan,Italy,30-Sep-01,30-Sep-01
Jordan,Kazakhstan,29-Nov-06,---
Jordan,"Korea, Republic of",24-Jul-04,25-Dec-04
Jordan,Kuwait,21-May-01,---
Jordan,Lebanon,31-Oct-02,30-Aug-03
Jordan,Lithuania,13-Oct-02,5-May-03
Jordan,Malaysia,2-Oct-94,3-Mar-95
Jordan,Morocco,16-Jun-98,7-Feb-00
Jordan,Netherlands,17-Nov-97,1-Aug-98
Jordan,Oman,9-Apr-07,---
Jordan,Palestinian Territory,4-Oct-12,---
Jordan,Poland,4-Oct-97,14-Aug-99
Jordan,Portugal,17-Mar-09,---
Jordan,Qatar,28-Jan-09,---
Jordan,Romania,2-Jul-92,16-Mar-99
Jordan,Russian Federation,13-Jan-07,---
Jordan,Singapore,16-May-04,22-Aug-05
Jordan,Slovakia,21-Feb-08,9-Jun-10
Jordan,Spain,20-Oct-99,13-Dec-00
Jordan,Sudan,30-Mar-00,3-Feb-01
Jordan,Switzerland,25-Feb-01,11-Dec-01
Jordan,Syrian Arab Republic,8-Oct-01,11-May-02
Jordan,"Tanzania, United Republic",8-Oct-09,---
Jordan,Thailand,15-Dec-05,---
Jordan,Tunisia,27-Apr-95,23-Nov-95
Jordan,Turkey,2-Aug-93,23-Jan-06
Jordan,Ukraine,30-Nov-05,---
Jordan,United Arab Emirates,15-Apr-09,12-Feb-10
Jordan,United Kingdom,10-Oct-79,24-Apr-80
Jordan,United States,2-Jul-97,12-Jun-03
Jordan,Yemen,18-Jun-95,28-Jan-98
