Reporter,Partner,Date of Signature,Date of entry into force
Democratic People's Republic of Korea,c Bangladesh,21-Jun-99,---
Democratic People's Republic of Korea,Belarus,24-Aug-06,---
Democratic People's Republic of Korea,Bulgaria,16-Jun-99,---
Democratic People's Republic of Korea,Cambodia,1-Nov-07,---
Democratic People's Republic of Korea,China,22-Mar-05,1-Oct-05
Democratic People's Republic of Korea,Czech Republic,17-Dec-08,10-Jan-10
Democratic People's Republic of Korea,Denmark,10-Sep-96,25-Dec-97
Democratic People's Republic of Korea,Egypt,19-Aug-99,12-Jan-00
Democratic People's Republic of Korea,Indonesia,21-Feb-00,---
Democratic People's Republic of Korea,"Iran, Islamic Republic of",30-Sep-02,24-Apr-05
Democratic People's Republic of Korea,Italy,27-Sep-00,---
Democratic People's Republic of Korea,"Macedonia, TFYR",15-Dec-97,30-Apr-98
Democratic People's Republic of Korea,Malaysia,4-Feb-98,17-Oct-98
Democratic People's Republic of Korea,Mali,11-Oct-99,---
Democratic People's Republic of Korea,Mongolia,10-Nov-03,---
Democratic People's Republic of Korea,Romania,23-Jan-98,31-Mar-01
Democratic People's Republic of Korea,Russian Federation,28-Nov-96,---
Democratic People's Republic of Korea,Serbia,26-Aug-98,14-Aug-00
Democratic People's Republic of Korea,Singapore,2-Dec-08,18-Mar-09
Democratic People's Republic of Korea,Slovakia,27-Jan-09,6-Dec-09
Democratic People's Republic of Korea,Switzerland,14-Dec-98,15-Nov-00
Democratic People's Republic of Korea,Syrian Arab Republic,14-May-06,---
Democratic People's Republic of Korea,Thailand,1-Mar-02,24-May-02
Democratic People's Republic of Korea,VietNam,2-May-02,---
