Reporter,Partner,Date of Signature,Date of entry into force
Republic of Korea,of Albania,15-Dec-03,18-May-06
Republic of Korea,Algeria,12-Oct-99,30-Sep-01
Republic of Korea,Argentina,17-May-94,24-Sep-96
Republic of Korea,Austria,14-Mar-91,1-Nov-91
Republic of Korea,Azerbaijan,23-Apr-07,25-Jan-08
Republic of Korea,Bangladesh,18-Jun-86,6-Oct-88
Republic of Korea,Belarus,22-Apr-97,9-Aug-97
Republic of Korea,Belgium and Luxembourg,12-Dec-06,27-Mar-11
Republic of Korea,Bolivia,1-Apr-96,4-Jun-97
Republic of Korea,Brazil,1-Sep-95,---
Republic of Korea,Brunei Darussalam,14-Nov-00,30-Oct-03
Republic of Korea,Bulgaria,12-Jun-06,16-Nov-06
Republic of Korea,Burkina Faso,26-Oct-04,---
Republic of Korea,Cambodia,10-Feb-97,12-Mar-97
Republic of Korea,Chile,6-Sep-96,16-Sep-99
Republic of Korea,China,7-Sep-07,1-Dec-07
Republic of Korea,Congo,8-Nov-06,13-Aug-11
Republic of Korea,"Congo, DR",17-Mar-05,---
Republic of Korea,Costa Rica,11-Aug-00,26-Aug-02
Republic of Korea,Croatia,19-Jul-05,31-May-06
Republic of Korea,Czech Republic,27-Apr-92,16-Mar-95
Republic of Korea,Denmark,2-Jun-88,2-Jun-88
Republic of Korea,Dominican Republic,30-Jun-06,21-May-08
Republic of Korea,Egypt,18-Mar-96,25-May-97
Republic of Korea,El Salvador,6-Jul-98,25-May-02
Republic of Korea,Finland,21-Oct-93,11-May-96
Republic of Korea,France,28-Dec-77,1-Feb-79
Republic of Korea,Germany,4-Feb-64,15-Jan-67
Republic of Korea,Greece,25-Jan-95,4-Nov-95
Republic of Korea,Guatemala,1-Aug-00,17-Aug-02
Republic of Korea,Guyana,31-Jul-06,20-Aug-06
Republic of Korea,Honduras,24-Oct-00,19-Jul-01
Republic of Korea,"Hong Kong, China",30-Jun-97,30-Jul-97
Republic of Korea,Hungary,28-Dec-88,1-Feb-89
Republic of Korea,India,26-Feb-96,7-May-96
Republic of Korea,Indonesia,16-Feb-91,10-Mar-94
Republic of Korea,"Iran, Islamic Republic of",31-Oct-98,31-May-06
Republic of Korea,Israel,7-Feb-99,19-Jun-03
Republic of Korea,Italy,10-Jan-89,26-Jun-92
Republic of Korea,Jamaica,10-Jun-03,---
Republic of Korea,Japan,22-Mar-02,1-Jan-03
Republic of Korea,Jordan,24-Jul-04,25-Dec-04
Republic of Korea,Kazakhstan,20-Mar-96,26-Dec-96
Republic of Korea,Kuwait,15-Jul-04,---
Republic of Korea,Kyrgyzstan,19-Nov-07,8-Jun-08
Republic of Korea,Lao PDR,15-May-96,14-Jun-96
Republic of Korea,Latvia,23-Oct-96,26-Jan-97
Republic of Korea,Lebanon,5-May-06,21-Dec-06
Republic of Korea,Libyan Arab Jamahiriya,21-Sep-06,---
Republic of Korea,Lithuania,24-Sep-93,9-Nov-93
Republic of Korea,Malaysia,11-Apr-88,31-Mar-89
Republic of Korea,Mauritania,15-Dec-04,21-Jul-06
Republic of Korea,Mauritius,18-Jun-07,9-May-08
Republic of Korea,Mexico,14-Nov-00,27-Jun-02
Republic of Korea,Mongolia,28-Mar-91,30-Apr-91
Republic of Korea,Morocco,27-Jan-99,8-May-01
Republic of Korea,Netherlands,12-Jul-03,1-Mar-05
Republic of Korea,Nicaragua,15-May-00,22-Jun-01
Republic of Korea,Nigeria,27-Mar-98,1-Feb-99
Republic of Korea,Oman,8-Oct-03,10-Feb-04
Republic of Korea,Pakistan,25-May-88,15-Apr-90
Republic of Korea,Panama,10-Jul-01,8-Feb-02
Republic of Korea,Paraguay,22-Dec-92,6-Aug-93
Republic of Korea,Peru,3-Jun-93,20-Apr-94
Republic of Korea,Philippines,7-Apr-94,25-Sep-96
Republic of Korea,Poland,1-Nov-89,2-Feb-90
Republic of Korea,Portugal,3-May-95,11-Aug-96
Republic of Korea,Qatar,16-Apr-99,16-May-99
Republic of Korea,Romania,6-Sep-06,---
Republic of Korea,Russian Federation,14-Dec-90,10-Jul-91
Republic of Korea,Saudi Arabia,4-Apr-02,19-Feb-03
Republic of Korea,Senegal,12-Jul-84,2-Sep-85
Republic of Korea,Slovakia,27-May-05,7-Feb-06
Republic of Korea,South Africa,7-Jul-95,6-Jun-97
Republic of Korea,Spain,17-Jan-94,19-Jul-94
Republic of Korea,Sri Lanka,28-Mar-80,15-Jul-80
Republic of Korea,Sweden,30-Aug-95,18-Jun-97
Republic of Korea,Switzerland,15-Dec-05,1-Sep-06
Republic of Korea,Tajikistan,14-Jul-95,13-Aug-95
Republic of Korea,"Tanzania, United Republic",18-Dec-98,---
Republic of Korea,Thailand,24-Mar-89,30-Sep-89
Republic of Korea,Trinidad and Tobago,5-Nov-02,27-Nov-03
Republic of Korea,Tunisia,23-May-75,28-Nov-75
Republic of Korea,Turkey,14-May-91,4-Jun-94
Republic of Korea,Ukraine,16-Dec-96,3-Nov-97
Republic of Korea,United Arab Emirates,9-Jun-02,15-Jun-04
Republic of Korea,United Kingdom,4-Mar-76,4-Mar-76
Republic of Korea,Uruguay,1-Oct-09,8-Dec-11
Republic of Korea,Uzbekistan,17-Jun-92,20-Nov-92
Republic of Korea,VietNam,15-Sep-03,5-Jun-04
