Reporter,Partner,Date of Signature,Date of entry into force
Kuwait,Albania,12-Dec-07,---
Kuwait,Algeria,30-Sep-01,---
Kuwait,Austria,16-Nov-96,22-Sep-98
Kuwait,Belarus,10-Jul-01,14-Jun-03
Kuwait,Belgium and Luxembourg,28-Sep-00,8-Dec-03
Kuwait,Bosnia and Herzegovina,13-Jun-01,23-Dec-02
Kuwait,Bulgaria,29-Jan-07,14-May-10
Kuwait,Cambodia,4-Aug-08,---
Kuwait,Canada,26-Sep-11,---
Kuwait,China,23-Nov-85,24-Dec-86
Kuwait,Croatia,8-Mar-97,2-Jul-98
Kuwait,Czech Republic,31-Oct-10,---
Kuwait,Denmark,1-Jun-01,29-Jun-02
Kuwait,Egypt,17-Apr-01,26-Apr-02
Kuwait,Ethiopia,14-Sep-96,12-Nov-98
Kuwait,Finland,10-Mar-96,21-May-97
Kuwait,France,27-Sep-89,16-May-91
Kuwait,Georgia,13-Oct-09,---
Kuwait,Germany,30-Mar-94,15-Nov-97
Kuwait,Guyana,17-Jan-10,---
Kuwait,Hungary,8-Nov-89,1-Mar-94
Kuwait,India,27-Nov-01,28-Jun-03
Kuwait,"Iran, Islamic Republic of",13-Feb-07,---
Kuwait,Iraq,25-Oct-64,7-Jun-66
Kuwait,Italy,17-Dec-87,21-May-90
Kuwait,Jamaica,1-Apr-13,---
Kuwait,Japan,22-Mar-12,---
Kuwait,Jordan,21-May-01,---
Kuwait,Kazakhstan,31-Aug-97,---
Kuwait,"Korea, Republic of",15-Jul-04,---
Kuwait,Latvia,5-Oct-01,21-Mar-04
Kuwait,Lebanon,21-Jan-01,19-Apr-02
Kuwait,Lithuania,5-Jun-01,15-Jan-03
Kuwait,"Macedonia, TFYR",8-Apr-08,2-Nov-11
Kuwait,Malaysia,21-Nov-87,---
Kuwait,Malta,19-Apr-95,25-Jun-96
Kuwait,Mauritania,1-Aug-06,---
Kuwait,"Moldova, Republic of",29-Mar-02,6-Apr-04
Kuwait,Mongolia,15-Mar-98,1-May-00
Kuwait,Morocco,16-Feb-99,7-May-01
Kuwait,Netherlands,29-May-01,31-May-02
Kuwait,Pakistan,15-Feb-11,---
Kuwait,Poland,5-Mar-90,18-Dec-93
Kuwait,Portugal,23-Jul-07,28-May-11
Kuwait,Romania,21-May-91,26-Jul-92
Kuwait,Russian Federation,21-Nov-94,30-May-96
Kuwait,Serbia,19-Jan-04,1-Apr-05
Kuwait,Singapore,5-Nov-09,---
Kuwait,Slovakia,17-Feb-09,---
Kuwait,Slovenia,26-Apr-02,28-Jul-04
Kuwait,Spain,8-Sep-05,8-Mar-08
Kuwait,Sri Lanka,11-May-09,---
Kuwait,Sweden,7-Nov-99,10-May-02
Kuwait,Switzerland,31-Oct-98,17-Dec-00
Kuwait,Syrian Arab Republic,16-Aug-01,23-Mar-04
Kuwait,Tajikistan,18-Apr-95,12-Jun-98
Kuwait,Tunisia,14-Sep-73,---
Kuwait,Turkey,27-May-10,---
Kuwait,United Arab Emirates,12-Feb-66,---
Kuwait,Uzbekistan,19-Jan-04,6-Mar-06
Kuwait,Yemen,20-Feb-01,---
