Reporter,Partner,Date of Signature,Date of entry into force
Latvia,Armenia,7-Oct-05,21-Apr-07
Latvia,Austria,17-Nov-94,1-May-96
Latvia,Azerbaijan,3-Oct-05,10-May-06
Latvia,Belarus,3-Mar-98,21-Dec-98
Latvia,Belgium and Luxembourg,27-Mar-96,4-Apr-99
Latvia,Bulgaria,5-Dec-03,23-Jul-04
Latvia,Canada,5-May-09,24-Nov-11
Latvia,China,15-Apr-04,1-Feb-06
Latvia,Croatia,17-Aug-02,25-May-05
Latvia,Czech Republic,25-Oct-94,1-Aug-95
Latvia,Denmark,30-Mar-92,18-Nov-94
Latvia,Egypt,24-Apr-97,3-Jun-98
Latvia,Estonia,7-Feb-96,23-May-96
Latvia,Finland,5-Mar-92,7-Dec-92
Latvia,France,15-May-92,1-Oct-94
Latvia,Georgia,5-Oct-05,5-Mar-06
Latvia,Germany,20-Apr-93,9-Jun-96
Latvia,Greece,20-Jul-95,9-Feb-98
Latvia,Hungary,10-Jun-99,25-Aug-00
Latvia,Iceland,11-Jun-98,1-May-99
Latvia,India,18-Feb-10,27-Nov-10
Latvia,Israel,27-Feb-94,9-May-95
Latvia,Kazakhstan,8-Oct-04,21-Apr-06
Latvia,"Korea, Republic of",23-Oct-96,26-Jan-97
Latvia,Kuwait,5-Oct-01,21-Mar-04
Latvia,Kyrgyzstan,22-May-08,11-Feb-09
Latvia,Lithuania,7-Feb-96,23-Jul-96
Latvia,"Moldova, Republic of",22-Sep-99,14-Apr-00
Latvia,Netherlands,14-Mar-94,1-Apr-95
Latvia,Norway,16-Jun-92,1-Dec-92
Latvia,Poland,26-Apr-93,19-Jul-93
Latvia,Portugal,27-Sep-95,17-Jul-97
Latvia,Romania,27-Nov-01,22-Aug-02
Latvia,Singapore,7-Jul-98,18-Mar-99
Latvia,Slovakia,9-Apr-98,30-Oct-98
Latvia,Spain,26-Oct-95,14-Mar-97
Latvia,Sweden,10-Mar-92,6-Nov-92
Latvia,Switzerland,22-Dec-92,16-Apr-93
Latvia,Turkey,18-Feb-97,3-Mar-99
Latvia,Ukraine,24-Jul-97,30-Dec-97
Latvia,United Kingdom,24-Jan-94,16-Feb-95
Latvia,United States,13-Jan-95,26-Dec-96
Latvia,Uzbekistan,23-May-96,29-Jan-97
Latvia,VietNam,6-Nov-95,20-Feb-96
