Reporter,Partner,Date of Signature,Date of entry into force
Lebanon,Armenia,1-May-95,1-Oct-98
Lebanon,Austria,26-May-01,30-Sep-02
Lebanon,Azerbaijan,11-Feb-98,---
Lebanon,Bahrain,7-Aug-03,13-Sep-05
Lebanon,Belarus,19-Jun-01,29-Dec-02
Lebanon,Belgium and Luxembourg,6-Sep-99,5-Mar-04
Lebanon,Benin,15-Jun-04,---
Lebanon,Bulgaria,21-Dec-10,---
Lebanon,Canada,11-Apr-97,19-Jun-99
Lebanon,Chad,15-Jun-04,---
Lebanon,Chile,3-Oct-99,---
Lebanon,China,13-Jun-96,10-Jul-97
Lebanon,Cuba,14-Dec-95,7-Jan-99
Lebanon,Cyprus,9-Apr-01,19-Mar-03
Lebanon,Czech Republic,20-Mar-10,---
Lebanon,Egypt,16-Mar-96,2-Jun-97
Lebanon,Finland,25-Aug-97,12-Jan-00
Lebanon,France,28-Nov-96,29-Oct-99
Lebanon,Gabon,20-Feb-01,---
Lebanon,Germany,18-Mar-97,25-Mar-99
Lebanon,Greece,24-Jul-97,17-Jul-99
Lebanon,Guinea,15-Jun-04,---
Lebanon,Hungary,22-Jun-01,23-Jul-02
Lebanon,Iceland,24-Jun-04,---
Lebanon,"Iran, Islamic Republic of",28-Oct-97,14-May-00
Lebanon,Italy,7-Nov-97,9-Feb-00
Lebanon,Jordan,31-Oct-02,30-Aug-03
Lebanon,"Korea, Republic of",5-May-06,21-Dec-06
Lebanon,Kuwait,21-Jan-01,19-Apr-02
Lebanon,Malaysia,26-Feb-98,20-Jan-02
Lebanon,Mauritania,15-Jun-04,30-Apr-06
Lebanon,Morocco,3-Jul-97,4-Mar-00
Lebanon,Netherlands,2-May-02,1-Mar-04
Lebanon,Oman,11-Apr-06,20-Oct-08
Lebanon,Pakistan,9-Jan-01,28-Mar-03
Lebanon,Qatar,28-Apr-10,---
Lebanon,Romania,15-Apr-09,---
Lebanon,Russian Federation,7-Apr-97,11-Mar-03
Lebanon,Slovakia,20-Feb-09,---
Lebanon,Spain,22-Feb-96,29-Apr-97
Lebanon,Sudan,9-Mar-04,21-Apr-07
Lebanon,Sweden,15-Jun-01,2-Nov-01
Lebanon,Switzerland,3-Mar-00,20-Apr-01
Lebanon,Syrian Arab Republic,18-Jul-10,---
Lebanon,Tunisia,24-Jun-98,4-Jun-00
Lebanon,Turkey,12-May-04,4-Jan-06
Lebanon,Ukraine,25-Mar-96,26-May-00
Lebanon,United Arab Emirates,17-May-98,14-Jul-99
Lebanon,United Kingdom,16-Feb-99,16-Sep-01
Lebanon,Yemen,25-Nov-99,13-May-02
