Reporter,Partner,Date of Signature,Date of entry into force
Lithuania,Albania,28-Mar-07,7-Dec-07
Lithuania,Argentina,14-Mar-96,1-Sep-98
Lithuania,Armenia,25-Apr-06,16-Mar-07
Lithuania,Australia,24-Nov-98,10-May-02
Lithuania,Austria,28-Jun-96,1-Jul-97
Lithuania,Azerbaijan,8-Jun-06,---
Lithuania,Belarus,5-Mar-99,16-May-02
Lithuania,Belgium and Luxembourg,15-Oct-97,6-Sep-99
Lithuania,Bosnia and Herzegovina,7-Jun-07,16-Mar-09
Lithuania,Bulgaria,21-Nov-05,25-Apr-06
Lithuania,China,8-Nov-93,1-Jun-94
Lithuania,Croatia,15-Apr-08,30-Jan-09
Lithuania,Czech Republic,27-Oct-94,12-Jul-95
Lithuania,Denmark,30-Mar-92,8-Jan-93
Lithuania,Estonia,7-Sep-95,20-Jun-96
Lithuania,Finland,12-Jun-92,8-Jan-93
Lithuania,France,23-Apr-92,27-Mar-95
Lithuania,Georgia,9-Nov-05,1-Nov-06
Lithuania,Germany,28-Feb-92,27-Jun-97
Lithuania,Greece,19-Jul-96,10-Jul-97
Lithuania,Hungary,25-May-99,20-May-03
Lithuania,Iceland,20-Aug-02,18-Apr-03
Lithuania,India,31-Mar-11,1-Dec-11
Lithuania,Israel,2-Oct-94,11-Jul-96
Lithuania,Jordan,13-Oct-02,5-May-03
Lithuania,Kazakhstan,15-Sep-94,25-May-95
Lithuania,"Korea, Republic of",24-Sep-93,9-Nov-93
Lithuania,Kuwait,5-Jun-01,15-Jan-03
Lithuania,Kyrgyzstan,15-May-08,20-Feb-09
Lithuania,Latvia,7-Feb-96,23-Jul-96
Lithuania,"Macedonia, TFYR",8-Mar-11,13-Jan-12
Lithuania,"Moldova, Republic of",20-Sep-99,29-May-03
Lithuania,Mongolia,27-Jun-03,3-May-04
Lithuania,Netherlands,26-Jan-94,1-Apr-95
Lithuania,Norway,16-Jun-92,20-Dec-92
Lithuania,Poland,28-Sep-92,6-Aug-93
Lithuania,Portugal,27-May-98,14-Aug-03
Lithuania,Romania,8-Mar-94,15-Dec-94
Lithuania,Russian Federation,29-Jun-99,24-May-04
Lithuania,Serbia,29-Mar-05,2-Dec-05
Lithuania,Slovenia,13-Oct-98,15-May-02
Lithuania,Spain,6-Jul-94,22-Dec-95
Lithuania,Sweden,17-Mar-92,1-Sep-92
Lithuania,Switzerland,23-Dec-92,13-May-93
Lithuania,Tajikistan,12-Feb-09,---
Lithuania,Turkey,11-Jul-94,7-Jul-97
Lithuania,Ukraine,8-Feb-94,6-Mar-95
Lithuania,United Kingdom,17-May-93,21-Sep-93
Lithuania,United States,14-Jan-98,22-Nov-01
Lithuania,Uzbekistan,18-Feb-02,11-Nov-02
Lithuania,Venezuela,24-Apr-95,1-Aug-96
Lithuania,VietNam,27-Sep-95,24-Apr-03
