Reporter,Partner,Date of Signature,Date of entry into force
Mali,Algeria,11-Jul-96,16-Feb-99
Mali,Benin,18-May-01,---
Mali,Cameroon,18-May-01,---
Mali,Chad,18-May-01,---
Mali,China,12-Feb-09,16-Jul-09
Mali,Comoros,18-May-01,---
Mali,Egypt,9-Mar-98,7-Jul-00
Mali,Gabon,25-Mar-05,---
Mali,Gambia,14-May-04,---
Mali,Germany,28-Jun-77,16-May-80
Mali,Guinea,18-May-01,---
Mali,"Korea, DPR",11-Oct-99,---
Mali,Netherlands,13-Jul-03,1-Mar-05
Mali,Qatar,18-May-02,---
Mali,Senegal,12-Apr-05,---
Mali,Switzerland,8-Mar-78,8-Dec-78
Mali,Tunisia,1-Jul-86,---
