Reporter,Partner,Date of Signature,Date of entry into force
Mexico,Argentina,13-Nov-96,22-Jun-98
Mexico,Australia,23-Aug-05,21-Jul-07
Mexico,Austria,29-Jun-98,26-Mar-01
Mexico,Belarus,4-Sep-08,27-Aug-09
Mexico,Belgium and Luxembourg,27-Aug-98,14-Mar-03
Mexico,China,11-Jul-08,6-Jun-09
Mexico,Cuba,30-May-01,29-Mar-02
Mexico,Czech Republic,4-Apr-02,13-Mar-04
Mexico,Denmark,13-Apr-00,23-Sep-00
Mexico,Finland,22-Feb-99,30-Aug-00
Mexico,France,12-Nov-98,12-Nov-00
Mexico,Germany,25-Aug-98,23-Feb-01
Mexico,Greece,30-Nov-00,26-Sep-02
Mexico,Iceland,24-Jun-05,28-Apr-06
Mexico,India,21-May-07,23-Feb-08
Mexico,Italy,24-Nov-99,5-Dec-02
Mexico,"Korea, Republic of",14-Nov-00,27-Jun-02
Mexico,Netherlands,13-May-98,1-Oct-99
Mexico,Panama,11-Oct-05,14-Dec-06
Mexico,Portugal,11-Nov-99,4-Sep-00
Mexico,Singapore,12-Nov-09,4-Apr-11
Mexico,Slovakia,26-Oct-07,8-Apr-09
Mexico,Spain,10-Oct-06,3-Apr-08
Mexico,Sweden,3-Oct-00,1-Jul-01
Mexico,Switzerland,10-Jul-95,14-Mar-96
Mexico,Trinidad and Tobago,3-Oct-06,16-Sep-07
Mexico,United Kingdom,12-May-06,25-Jul-07
Mexico,Uruguay,30-Jun-99,1-Jul-02
