Reporter,Partner,Date of Signature,Date of entry into force
Mongolia,Austria,19-May-01,1-May-02
Mongolia,Belarus,28-May-01,1-Dec-01
Mongolia,Belgium and Luxembourg,3-Mar-92,15-Apr-04
Mongolia,Bulgaria,6-Jun-00,---
Mongolia,China,25-Aug-91,1-Nov-93
Mongolia,Croatia,8-Aug-06,---
Mongolia,Cuba,26-Mar-99,18-Oct-00
Mongolia,Czech Republic,13-Feb-98,7-May-99
Mongolia,Denmark,13-Mar-95,2-Apr-96
Mongolia,Egypt,27-Apr-04,25-Jan-05
Mongolia,Finland,15-May-07,19-Jun-08
Mongolia,France,8-Nov-91,22-Dec-93
Mongolia,Germany,26-Jun-91,23-Jun-96
Mongolia,Hungary,13-Sep-94,6-Mar-96
Mongolia,India,3-Jan-01,29-Apr-02
Mongolia,Indonesia,4-Mar-97,13-Apr-99
Mongolia,Israel,25-Nov-03,2-Sep-04
Mongolia,Italy,15-Jan-93,1-Sep-95
Mongolia,Japan,15-Feb-01,24-Mar-02
Mongolia,Kazakhstan,2-Dec-94,3-Mar-95
Mongolia,"Korea, DPR",10-Nov-03,---
Mongolia,"Korea, Republic of",28-Mar-91,30-Apr-91
Mongolia,Kuwait,15-Mar-98,1-May-00
Mongolia,Kyrgyzstan,5-Dec-99,---
Mongolia,Lao PDR,3-Mar-94,29-Dec-94
Mongolia,Lithuania,27-Jun-03,3-May-04
Mongolia,Malaysia,27-Jul-95,14-Jan-96
Mongolia,Netherlands,9-Mar-95,1-Jun-96
Mongolia,Philippines,1-Sep-00,1-Nov-01
Mongolia,Poland,8-Nov-95,26-Mar-96
Mongolia,Qatar,29-Nov-07,---
Mongolia,Romania,6-Nov-95,15-Aug-96
Mongolia,Russian Federation,29-Nov-95,26-Feb-06
Mongolia,Singapore,24-Jul-95,7-Jan-96
Mongolia,Sweden,20-Oct-03,1-Jun-04
Mongolia,Switzerland,29-Jan-97,9-Sep-99
Mongolia,Tajikistan,20-Mar-09,16-Sep-09
Mongolia,Turkey,16-Mar-98,22-May-00
Mongolia,Ukraine,5-Nov-92,5-Nov-92
Mongolia,United Arab Emirates,21-Feb-01,---
Mongolia,United Kingdom,4-Oct-91,4-Oct-91
Mongolia,United States,6-Oct-94,4-Jan-97
Mongolia,VietNam,17-Apr-00,13-Dec-01
