Reporter,Partner,Date of Signature,Date of entry into force
Mozambique,Algeria,12-Dec-98,25-Jul-00
Mozambique,Belgium and Luxembourg,18-Jul-06,1-Sep-09
Mozambique,China,10-Jul-01,26-Feb-02
Mozambique,Cuba,20-Oct-01,26-Feb-02
Mozambique,Denmark,12-Oct-02,30-Dec-02
Mozambique,Egypt,8-Dec-98,---
Mozambique,Finland,3-Sep-04,21-Sep-05
Mozambique,France,15-Nov-02,6-Jul-06
Mozambique,Germany,6-Mar-02,15-Sep-07
Mozambique,India,19-Feb-09,---
Mozambique,Indonesia,26-Mar-99,25-Jul-00
Mozambique,Italy,14-Dec-98,17-Nov-03
Mozambique,Mauritius,14-Feb-97,26-May-03
Mozambique,Netherlands,18-Dec-01,1-Sep-04
Mozambique,Portugal,28-May-96,31-Oct-98
Mozambique,South Africa,6-May-97,28-Jul-98
Mozambique,Spain,18-Oct-10,---
Mozambique,Sweden,23-Oct-01,1-Nov-07
Mozambique,Switzerland,29-Nov-02,17-Feb-04
Mozambique,United Arab Emirates,24-Sep-03,---
Mozambique,United Kingdom,18-Mar-04,12-May-04
Mozambique,United States,1-Dec-98,3-Mar-05
Mozambique,VietNam,16-Jan-07,29-May-07
Mozambique,Zimbabwe,12-Sep-90,---
