Reporter,Partner,Date of Signature,Date of entry into force
Netherlands,Albania,15-Apr-94,1-Sep-95
Netherlands,Algeria,20-Mar-07,---
Netherlands,Argentina,20-Oct-92,1-Oct-94
Netherlands,Armenia,10-Jun-05,---
Netherlands,Bahrain,5-Feb-07,1-Dec-09
Netherlands,Bangladesh,1-Nov-94,1-Jun-96
Netherlands,Belarus,11-Apr-95,1-Aug-96
Netherlands,Belize,20-Sep-02,1-Oct-04
Netherlands,Benin,13-Dec-01,15-Dec-07
Netherlands,Bosnia and Herzegovina,13-May-98,1-Jan-02
Netherlands,Brazil,25-Nov-98,---
Netherlands,Bulgaria,6-Oct-99,1-Mar-01
Netherlands,Burkina Faso,10-Nov-00,1-Jan-04
Netherlands,Burundi,30-May-07,1-Aug-09
Netherlands,Cambodia,23-Jun-03,1-Mar-06
Netherlands,Cameroon,6-Jul-65,7-May-66
Netherlands,Cape Verde,11-Nov-91,25-Nov-92
Netherlands,Chile,30-Nov-98,---
Netherlands,China,26-Nov-01,1-Aug-04
Netherlands,Costa Rica,21-May-99,1-Jul-01
Netherlands,Côte d' Ivoire,26-Apr-65,8-Sep-66
Netherlands,Croatia,28-Apr-98,1-Jun-99
Netherlands,Cuba,2-Nov-99,1-Nov-01
Netherlands,Czech Republic,29-Apr-91,1-Oct-92
Netherlands,Dominican Republic,30-Mar-06,29-Aug-07
Netherlands,Ecuador,27-Jun-99,1-Jul-01
Netherlands,Egypt,17-Jan-96,1-Mar-98
Netherlands,El Salvador,12-Oct-99,1-Mar-01
Netherlands,Eritrea,2-Dec-03,---
Netherlands,Estonia,27-Oct-92,1-Sep-93
Netherlands,Ethiopia,16-May-03,1-Jul-05
Netherlands,Gambia,25-Sep-02,1-Apr-07
Netherlands,Georgia,3-Feb-98,1-Apr-99
Netherlands,Ghana,31-Mar-89,1-Jul-91
Netherlands,Guatemala,18-May-01,1-Sep-02
Netherlands,Honduras,15-Jan-01,1-Sep-02
Netherlands,"Hong Kong, China",19-Nov-92,1-Sep-93
Netherlands,Hungary,2-Sep-87,1-Jun-88
Netherlands,India,6-Nov-95,1-Dec-96
Netherlands,Indonesia,6-Apr-94,1-Jul-95
Netherlands,Jamaica,18-Apr-91,1-Aug-92
Netherlands,Jordan,17-Nov-97,1-Aug-98
Netherlands,Kazakhstan,27-Nov-02,1-Aug-07
Netherlands,Kenya,11-Sep-70,11-Jun-79
Netherlands,"Korea, Republic of",12-Jul-03,1-Mar-05
Netherlands,Kuwait,29-May-01,31-May-02
Netherlands,Lao PDR,16-May-03,1-May-05
Netherlands,Latvia,14-Mar-94,1-Apr-95
Netherlands,Lebanon,2-May-02,1-Mar-04
Netherlands,Lithuania,26-Jan-94,1-Apr-95
Netherlands,"Macao, China",22-May-08,1-May-09
Netherlands,"Macedonia, TFYR",7-Jul-98,1-Jun-99
Netherlands,Malawi,11-Dec-03,1-Nov-07
Netherlands,Malaysia,15-Jun-71,13-Sep-72
Netherlands,Mali,13-Jul-03,1-Mar-05
Netherlands,Malta,10-Sep-84,1-Jul-85
Netherlands,Mexico,13-May-98,1-Oct-99
Netherlands,"Moldova, Republic of",26-Sep-95,1-May-97
Netherlands,Mongolia,9-Mar-95,1-Jun-96
Netherlands,Montenegro,29-Jan-02,1-Jun-04
Netherlands,Morocco,23-Dec-71,27-Jul-78
Netherlands,Mozambique,18-Dec-01,1-Sep-04
Netherlands,Namibia,26-Nov-02,1-Oct-04
Netherlands,Nicaragua,28-Aug-00,1-Jan-03
Netherlands,Nigeria,2-Nov-92,1-Feb-94
Netherlands,Oman,17-Jan-09,---
Netherlands,Pakistan,4-Oct-88,1-Oct-89
Netherlands,Panama,28-Aug-00,1-Sep-01
Netherlands,Paraguay,29-Oct-92,1-Aug-94
Netherlands,Peru,27-Dec-94,1-Feb-96
Netherlands,Philippines,27-Feb-85,1-Oct-87
Netherlands,Poland,7-Sep-92,1-Feb-94
Netherlands,Romania,19-Apr-94,1-Feb-95
Netherlands,Russian Federation,5-Oct-89,20-Jul-91
Netherlands,Senegal,3-Aug-79,5-May-81
Netherlands,Serbia,16-Apr-07,---
Netherlands,Singapore,16-May-72,7-Sep-73
Netherlands,Slovakia,29-Apr-91,1-Oct-92
Netherlands,Slovenia,24-Sep-96,1-Aug-98
Netherlands,South Africa,9-May-95,1-May-99
Netherlands,Sri Lanka,26-Apr-84,1-May-85
Netherlands,Sudan,22-Aug-70,27-Mar-72
Netherlands,Suriname,31-Mar-05,1-Oct-06
Netherlands,Tajikistan,24-Jul-02,1-Apr-04
Netherlands,"Tanzania, United Republic",31-Jul-01,1-Apr-04
Netherlands,Thailand,6-Jun-72,3-Mar-73
Netherlands,Tunisia,11-May-98,1-Aug-99
Netherlands,Turkey,27-Mar-86,1-Nov-89
Netherlands,Uganda,30-May-00,1-Jan-03
Netherlands,Ukraine,14-Jul-94,1-Jun-97
Netherlands,Uruguay,22-Sep-88,1-Aug-91
Netherlands,Uzbekistan,14-Mar-96,1-Jul-97
Netherlands,VietNam,10-Mar-94,1-Feb-95
Netherlands,Yemen,18-Mar-85,1-Sep-86
Netherlands,Zambia,30-Apr-03,---
Netherlands,Zimbabwe,11-Dec-96,1-May-98
