Reporter,Partner,Date of Signature,Date of entry into force
Nicaragua,Argentina,10-Aug-98,1-Feb-01
Nicaragua,Belgium and Luxembourg,27-May-05,---
Nicaragua,Chile,8-Nov-96,10-Jan-01
Nicaragua,Czech Republic,2-Apr-02,24-Feb-04
Nicaragua,Denmark,12-Mar-95,23-Sep-05
Nicaragua,Finland,17-Sep-03,---
Nicaragua,France,13-Feb-98,31-Mar-00
Nicaragua,Germany,6-May-96,19-Jan-01
Nicaragua,Italy,20-Apr-04,---
Nicaragua,"Korea, Republic of",15-May-00,22-Jun-01
Nicaragua,Netherlands,28-Aug-00,1-Jan-03
Nicaragua,Russian Federation,26-Jan-12,---
Nicaragua,Spain,16-Mar-94,28-Mar-95
Nicaragua,Sweden,27-May-99,---
Nicaragua,Switzerland,30-Nov-98,2-May-00
Nicaragua,Taiwan Province of China,29-Jul-92,8-Jan-93
Nicaragua,United Kingdom,4-Dec-96,21-Dec-01
Nicaragua,United States,1-Jul-95,---
