Reporter,Partner,Date of Signature,Date of entry into force
Portugal,Albania,11-Sep-98,10-Jun-07
Portugal,Algeria,15-Sep-04,8-Sep-05
Portugal,Angola,22-Feb-08,---
Portugal,Argentina,6-Oct-94,3-May-96
Portugal,Bosnia and Herzegovina,13-Mar-02,3-Feb-09
Portugal,Brazil,9-Feb-94,---
Portugal,Bulgaria,27-May-93,20-Nov-00
Portugal,Cape Verde,26-Oct-90,4-Oct-91
Portugal,Chile,28-Apr-95,24-Feb-98
Portugal,China,9-Dec-05,26-Jul-08
Portugal,Congo,4-Jun-10,---
Portugal,"Congo, DR",3-Mar-11,---
Portugal,Croatia,9-May-95,27-Nov-97
Portugal,Cuba,8-Jul-98,18-Jun-99
Portugal,Czech Republic,12-Nov-93,3-Aug-94
Portugal,Egypt,29-Apr-99,23-Dec-00
Portugal,Equatorial Guinea,16-Jan-09,---
Portugal,Gabon,17-Dec-01,---
Portugal,Germany,16-Sep-80,23-Apr-82
Portugal,Guinea-Bissau,24-Jun-91,8-Apr-96
Portugal,Hungary,28-Feb-92,8-Oct-97
Portugal,India,28-Jun-00,19-Jul-02
Portugal,Jordan,17-Mar-09,---
Portugal,"Korea, Republic of",3-May-95,11-Aug-96
Portugal,Kuwait,23-Jul-07,28-May-11
Portugal,Latvia,27-Sep-95,17-Jul-97
Portugal,Libyan Arab Jamahiriya,14-Jun-03,19-Jun-05
Portugal,Lithuania,27-May-98,14-Aug-03
Portugal,"Macao, China",17-May-00,2-May-02
Portugal,Mauritius,12-Dec-97,3-Jan-99
Portugal,Mexico,11-Nov-99,4-Sep-00
Portugal,Morocco,17-Apr-07,---
Portugal,Mozambique,28-May-96,31-Oct-98
Portugal,Pakistan,11-Oct-96,14-Dec-96
Portugal,Paraguay,24-Nov-99,4-Nov-01
Portugal,Peru,22-Nov-94,18-Oct-95
Portugal,Philippines,8-Nov-02,14-Aug-03
Portugal,Poland,11-Mar-93,9-Nov-93
Portugal,Qatar,21-Apr-09,---
Portugal,Romania,17-Nov-93,17-Nov-94
Portugal,Russian Federation,21-Jul-94,---
Portugal,São Tomé and Principe,18-Jul-97,---
Portugal,Senegal,25-Jan-11,---
Portugal,Serbia,19-Sep-09,24-Jul-10
Portugal,Slovakia,10-Jul-95,15-May-99
Portugal,Slovenia,14-May-97,4-May-00
Portugal,Timor-Leste,20-May-02,7-Apr-04
Portugal,Tunisia,28-Feb-02,10-Nov-06
Portugal,Turkey,19-Feb-01,19-Jan-04
Portugal,Ukraine,25-Oct-00,18-Jul-03
Portugal,United Arab Emirates,19-Nov-11,---
Portugal,Uruguay,25-Jul-97,3-Nov-99
Portugal,Uzbekistan,11-Sep-01,14-Mar-10
Portugal,Venezuela,17-Jun-94,7-Oct-95
Portugal,Zimbabwe,5-May-94,---
