Reporter,Partner,Date of Signature,Date of entry into force
Romania,Albania,11-May-95,2-Sep-95
Romania,Algeria,28-Jun-94,30-Dec-95
Romania,Argentina,29-Jul-93,1-May-95
Romania,Armenia,20-Sep-94,24-Dec-95
Romania,Australia,21-Jun-93,22-Apr-94
Romania,Austria,15-May-96,1-Jul-97
Romania,Azerbaijan,11-Oct-06,---
Romania,Bangladesh,13-Mar-87,31-Oct-87
Romania,Belarus,31-May-95,8-Jan-97
Romania,Belgium and Luxembourg,4-Mar-96,9-Mar-01
Romania,Bolivia,9-Oct-95,16-Mar-97
Romania,Bosnia and Herzegovina,18-Jun-10,12-Jan-12
Romania,Bulgaria,1-Jun-94,23-May-95
Romania,Cameroon,30-Aug-80,24-Sep-81
Romania,Canada,8-May-09,23-Nov-11
Romania,Chile,4-Jul-95,27-Jul-97
Romania,China,16-Apr-07,1-Sep-09
Romania,Croatia,30-Apr-10,20-Jul-11
Romania,Cuba,27-Jan-96,22-May-97
Romania,Cyprus,26-Jul-91,10-Jul-93
Romania,Czech Republic,22-Jan-08,30-Jul-09
Romania,Denmark,14-Jun-94,24-Aug-95
Romania,Egypt,24-Nov-94,3-Apr-96
Romania,Finland,26-Mar-92,6-Jan-93
Romania,France,21-Mar-95,20-Jun-96
Romania,Gabon,11-Apr-79,18-Sep-82
Romania,Georgia,11-Dec-97,12-Jun-98
Romania,Germany,25-Jun-96,12-Dec-98
Romania,Ghana,14-Sep-89,---
Romania,Greece,23-May-97,11-Jun-98
Romania,Hungary,16-Sep-93,6-May-96
Romania,India,16-Feb-09,---
Romania,Indonesia,27-Jun-97,21-Aug-99
Romania,"Iran, Islamic Republic of",26-Jan-03,12-Jan-05
Romania,Israel,12-Aug-10,---
Romania,Jordan,2-Jul-92,16-Mar-99
Romania,Kazakhstan,2-Mar-10,---
Romania,"Korea, DPR",23-Jan-98,31-Mar-01
Romania,"Korea, Republic of",6-Sep-06,---
Romania,Kuwait,21-May-91,26-Jul-92
Romania,Latvia,27-Nov-01,22-Aug-02
Romania,Lebanon,15-Apr-09,---
Romania,Lithuania,8-Mar-94,15-Dec-94
Romania,"Macedonia, TFYR",12-Jun-00,13-Feb-02
Romania,Malaysia,25-Jun-96,8-May-97
Romania,Mauritania,14-Mar-88,19-Dec-89
Romania,Mauritius,20-Jan-00,20-Dec-00
Romania,"Moldova, Republic of",14-Aug-92,15-Jun-97
Romania,Mongolia,6-Nov-95,15-Aug-96
Romania,Morocco,26-Jan-08,15-Oct-12
Romania,Netherlands,19-Apr-94,1-Feb-95
Romania,Nigeria,18-Dec-98,3-Jun-05
Romania,Norway,11-Jun-91,23-Mar-92
Romania,Pakistan,10-Jul-95,8-Aug-96
Romania,Paraguay,21-May-94,12-Apr-95
Romania,Peru,16-May-94,1-Jan-95
Romania,Philippines,18-May-94,14-Jun-98
Romania,Poland,23-Jun-94,30-Dec-94
Romania,Portugal,17-Nov-93,17-Nov-94
Romania,Qatar,6-Jun-96,27-Apr-97
Romania,Russian Federation,29-Sep-93,19-Jul-96
Romania,Senegal,19-Jun-80,20-May-84
Romania,Serbia,28-Nov-95,13-Sep-96
Romania,Slovakia,3-Mar-94,7-Mar-96
Romania,Slovenia,24-Jan-96,24-Nov-96
Romania,Spain,25-Jan-95,7-Dec-95
Romania,Sri Lanka,9-Feb-81,3-Jun-82
Romania,Sudan,8-Dec-78,---
Romania,Sweden,29-May-02,1-Apr-03
Romania,Switzerland,25-Oct-93,30-Jul-94
Romania,Syrian Arab Republic,24-Jun-08,26-Jul-09
Romania,Thailand,30-Apr-93,20-Aug-94
Romania,Tunisia,16-Oct-95,8-Aug-97
Romania,Turkey,3-Mar-08,8-Jul-10
Romania,Turkmenistan,16-Nov-94,29-Mar-96
Romania,Ukraine,23-Feb-95,---
Romania,United Arab Emirates,11-Apr-93,7-Apr-96
Romania,United Kingdom,13-Jul-95,10-Jan-96
Romania,United States,28-May-92,15-Jan-94
Romania,Uruguay,27-Sep-10,---
Romania,Uzbekistan,6-Jun-96,30-May-97
Romania,VietNam,15-Sep-94,16-Aug-95
