Reporter,Partner,Date of Signature,Date of entry into force
Russian Federation,Albania,11-Apr-95,29-May-96
Russian Federation,Algeria,10-Mar-06,---
Russian Federation,Angola,26-Jun-09,12-Jan-11
Russian Federation,Argentina,25-Jun-98,20-Nov-00
Russian Federation,Armenia,15-Sep-01,8-Feb-06
Russian Federation,Austria,8-Feb-90,1-Sep-91
Russian Federation,Belgium and Luxembourg,9-Feb-89,13-Oct-91
Russian Federation,Bulgaria,8-Jun-93,18-Dec-05
Russian Federation,Canada,20-Nov-89,27-Jun-91
Russian Federation,China,9-Nov-06,1-May-09
Russian Federation,Croatia,20-May-96,---
Russian Federation,Cuba,7-Jul-93,8-Jul-96
Russian Federation,Cyprus,11-Apr-97,---
Russian Federation,Czech Republic,5-Apr-94,6-Jun-96
Russian Federation,Denmark,4-Nov-93,26-Aug-96
Russian Federation,Ecuador,25-Apr-96,---
Russian Federation,Egypt,23-Sep-97,12-Jun-00
Russian Federation,Equatorial Guinea,6-Jun-11,---
Russian Federation,Ethiopia,10-Feb-00,6-Jun-00
Russian Federation,Finland,8-Feb-89,15-Aug-91
Russian Federation,France,4-Jul-89,18-Jul-91
Russian Federation,Germany,13-Jun-89,5-Aug-91
Russian Federation,Greece,30-Jun-93,23-Feb-97
Russian Federation,Hungary,6-Mar-95,29-May-96
Russian Federation,India,23-Dec-94,5-Aug-96
Russian Federation,Indonesia,6-Sep-07,---
Russian Federation,Italy,17-Dec-02,17-Dec-02
Russian Federation,Japan,13-Nov-98,27-May-00
Russian Federation,Jordan,13-Jan-07,---
Russian Federation,Kazakhstan,6-Jul-98,11-Feb-00
Russian Federation,"Korea, DPR",28-Nov-96,---
Russian Federation,"Korea, Republic of",14-Dec-90,10-Jul-91
Russian Federation,Kuwait,21-Nov-94,30-May-96
Russian Federation,Lao PDR,6-Dec-96,9-Feb-06
Russian Federation,Lebanon,7-Apr-97,11-Mar-03
Russian Federation,Libyan Arab Jamahiriya,17-Apr-08,15-Oct-10
Russian Federation,Lithuania,29-Jun-99,24-May-04
Russian Federation,"Macedonia, TFYR",21-Oct-97,9-Jul-98
Russian Federation,"Moldova, Republic of",17-Mar-98,18-Jul-01
Russian Federation,Mongolia,29-Nov-95,26-Feb-06
Russian Federation,Namibia,25-Jun-09,---
Russian Federation,Netherlands,5-Oct-89,20-Jul-91
Russian Federation,Nicaragua,26-Jan-12,---
Russian Federation,Nigeria,24-Jun-09,---
Russian Federation,Norway,4-Oct-95,21-May-98
Russian Federation,Philippines,12-Sep-97,29-Oct-98
Russian Federation,Poland,2-Oct-92,---
Russian Federation,Portugal,21-Jul-94,---
Russian Federation,Qatar,12-Feb-07,4-Jun-09
Russian Federation,Romania,29-Sep-93,19-Jul-96
Russian Federation,Serbia,11-Oct-95,29-Dec-95
Russian Federation,Singapore,21-Sep-10,---
Russian Federation,Slovakia,30-Nov-93,2-Aug-96
Russian Federation,Slovenia,8-Apr-00,---
Russian Federation,South Africa,23-Nov-98,12-Apr-00
Russian Federation,Spain,26-Oct-90,28-Nov-91
Russian Federation,Sweden,19-Apr-95,7-Jun-96
Russian Federation,Switzerland,1-Dec-90,26-Aug-91
Russian Federation,Syrian Arab Republic,27-Jan-05,13-Jul-07
Russian Federation,Tajikistan,16-Apr-98,---
Russian Federation,Thailand,17-Oct-02,---
Russian Federation,Turkey,15-Dec-97,17-May-00
Russian Federation,Turkmenistan,25-Mar-09,23-Aug-10
Russian Federation,Ukraine,17-Nov-98,27-Jan-00
Russian Federation,United Arab Emirates,28-Jun-10,---
Russian Federation,United Kingdom,6-Apr-89,3-Jul-91
Russian Federation,United States,17-Jun-92,---
Russian Federation,Uzbekistan,22-Dec-97,---
Russian Federation,Venezuela,7-Nov-08,26-Nov-09
Russian Federation,VietNam,16-Jun-94,3-Jul-96
Russian Federation,Yemen,1-Dec-02,17-Jun-05
