Reporter,Partner,Date of Signature,Date of entry into force
Saudi Arabia,Austria,30-Jun-01,25-Jul-03
Saudi Arabia,Azerbaijan,9-Mar-05,---
Saudi Arabia,Belarus,20-Jul-09,7-Aug-10
Saudi Arabia,Belgium and Luxembourg,22-Apr-01,11-Jun-04
Saudi Arabia,China,29-Feb-96,1-May-97
Saudi Arabia,Czech Republic,18-Nov-09,13-Mar-11
Saudi Arabia,Egypt,13-Mar-90,18-Dec-90
Saudi Arabia,France,26-Jun-02,18-Mar-04
Saudi Arabia,Germany,29-Oct-96,9-Jan-99
Saudi Arabia,India,25-Jan-06,20-May-08
Saudi Arabia,Indonesia,15-Sep-03,5-Jul-04
Saudi Arabia,Italy,10-Sep-96,22-May-98
Saudi Arabia,Japan,30-Apr-13,---
Saudi Arabia,"Korea, Republic of",4-Apr-02,19-Feb-03
Saudi Arabia,Malaysia,25-Oct-00,14-Aug-01
Saudi Arabia,Philippines,17-Oct-94,11-Nov-96
Saudi Arabia,Singapore,10-Apr-06,5-Oct-07
Saudi Arabia,Spain,9-Apr-06,---
Saudi Arabia,Sweden,11-Mar-08,1-Oct-09
Saudi Arabia,Switzerland,1-Apr-06,9-Aug-08
Saudi Arabia,Taiwan Province of China,31-Oct-00,---
Saudi Arabia,Turkey,8-Aug-06,20-Feb-09
Saudi Arabia,Ukraine,9-Apr-08,---
