Reporter,Partner,Date of Signature,Date of entry into force
Singapore,Bahrain,27-Oct-03,8-Dec-04
Singapore,Bangladesh,24-Jun-04,19-Nov-04
Singapore,Belarus,15-May-00,13-Jan-01
Singapore,Belgium and Luxembourg,17-Nov-78,27-Nov-80
Singapore,Bulgaria,15-Sep-03,10-Feb-06
Singapore,Cambodia,4-Nov-96,24-Feb-00
Singapore,Canada,30-Jul-71,30-Jul-71
Singapore,China,21-Nov-85,7-Feb-86
Singapore,Czech Republic,8-Apr-95,8-Oct-95
Singapore,Egypt,15-Apr-97,20-Mar-02
Singapore,France,8-Sep-75,18-Oct-76
Singapore,Germany,3-Oct-73,1-Oct-75
Singapore,Hungary,17-Apr-97,1-Jan-99
Singapore,Indonesia,16-Feb-05,21-Jun-06
Singapore,Jordan,16-May-04,22-Aug-05
Singapore,"Korea, DPR",2-Dec-08,18-Mar-09
Singapore,Kuwait,5-Nov-09,---
Singapore,Lao PDR,24-Mar-97,26-Mar-98
Singapore,Latvia,7-Jul-98,18-Mar-99
Singapore,Libyan Arab Jamahiriya,8-Apr-09,---
Singapore,Mauritius,4-Mar-00,19-Apr-00
Singapore,Mexico,12-Nov-09,4-Apr-11
Singapore,Mongolia,24-Jul-95,7-Jan-96
Singapore,Netherlands,16-May-72,7-Sep-73
Singapore,Oman,10-Dec-07,12-Oct-08
Singapore,Pakistan,8-Mar-95,4-May-95
Singapore,Peru,27-Feb-03,---
Singapore,Poland,3-Jun-93,29-Dec-93
Singapore,Russian Federation,21-Sep-10,---
Singapore,Saudi Arabia,10-Apr-06,5-Oct-07
Singapore,Slovakia,13-Oct-06,6-Jun-07
Singapore,Slovenia,25-Jan-99,8-Sep-00
Singapore,Sri Lanka,9-May-80,30-Sep-80
Singapore,Switzerland,6-Mar-78,3-May-78
Singapore,Taiwan Province of China,9-Apr-90,9-Apr-90
Singapore,Turkey,19-Feb-08,27-Mar-10
Singapore,Ukraine,18-Sep-06,---
Singapore,United Kingdom,22-Jul-75,22-Jul-75
Singapore,Uzbekistan,15-Jul-03,23-Nov-03
Singapore,VietNam,29-Oct-92,25-Dec-92
Singapore,Zimbabwe,1-Sep-00,---
