Reporter,Partner,Date of Signature,Date of entry into force
Slovakia,Austria,15-Oct-90,1-Oct-91
Slovakia,Belarus,26-Aug-05,1-Sep-06
Slovakia,Belgium and Luxembourg,24-Apr-89,13-Feb-92
Slovakia,Bosnia and Herzegovina,2-Jun-08,19-Nov-09
Slovakia,Bulgaria,24-Nov-05,18-Nov-06
Slovakia,Canada,20-Jul-10,14-Mar-12
Slovakia,China,7-Dec-05,25-May-07
Slovakia,Croatia,1-Jul-08,18-Nov-09
Slovakia,Cuba,22-Mar-97,5-Dec-97
Slovakia,Denmark,6-Mar-91,19-Sep-92
Slovakia,Egypt,30-Apr-97,1-Jan-00
Slovakia,Finland,6-Nov-90,23-Oct-91
Slovakia,France,13-Sep-90,27-Sep-91
Slovakia,Germany,2-Oct-90,2-Aug-92
Slovakia,Greece,3-Jun-91,31-Dec-92
Slovakia,Hungary,15-Jan-93,19-Jul-96
Slovakia,India,25-Sep-06,27-Sep-07
Slovakia,Indonesia,12-Jul-94,1-Mar-95
Slovakia,Israel,8-Sep-99,24-Jun-03
Slovakia,Jordan,21-Feb-08,9-Jun-10
Slovakia,Kazakhstan,21-Nov-07,---
Slovakia,Kenya,14-Dec-11,---
Slovakia,"Korea, DPR",27-Jan-09,6-Dec-09
Slovakia,"Korea, Republic of",27-May-05,7-Feb-06
Slovakia,Kuwait,17-Feb-09,---
Slovakia,Latvia,9-Apr-98,30-Oct-98
Slovakia,Lebanon,20-Feb-09,---
Slovakia,Libyan Arab Jamahiriya,20-Feb-09,---
Slovakia,"Macedonia, TFYR",25-Jun-09,25-Aug-11
Slovakia,Malta,7-Sep-99,29-May-00
Slovakia,Mexico,26-Oct-07,8-Apr-09
Slovakia,"Moldova, Republic of",7-Apr-08,15-Nov-09
Slovakia,Morocco,14-Jun-07,---
Slovakia,Netherlands,29-Apr-91,1-Oct-92
Slovakia,Norway,21-May-91,6-Aug-92
Slovakia,Poland,18-Aug-94,14-Mar-96
Slovakia,Portugal,10-Jul-95,15-May-99
Slovakia,Romania,3-Mar-94,7-Mar-96
Slovakia,Russian Federation,30-Nov-93,2-Aug-96
Slovakia,Serbia,11-Sep-04,13-Oct-05
Slovakia,Singapore,13-Oct-06,6-Jun-07
Slovakia,Slovenia,28-Jul-93,28-Mar-96
Slovakia,Spain,12-Dec-90,28-Nov-91
Slovakia,Sweden,13-Nov-90,25-Nov-91
Slovakia,Switzerland,5-Oct-90,7-Aug-91
Slovakia,Syrian Arab Republic,18-Feb-09,9-Dec-09
Slovakia,Tajikistan,14-Feb-94,12-Mar-96
Slovakia,Turkey,13-Oct-09,---
Slovakia,Turkmenistan,17-Nov-95,10-Mar-99
Slovakia,Ukraine,22-Jun-94,3-Apr-96
Slovakia,United Kingdom,10-Jul-90,26-Oct-92
Slovakia,United States,22-Oct-91,19-Dec-92
Slovakia,Uzbekistan,6-Mar-03,17-Oct-03
Slovakia,VietNam,17-Dec-09,18-Aug-11
