Reporter,Partner,Date of Signature,Date of entry into force
Slovenia,Albania,23-Oct-97,22-Mar-00
Slovenia,Austria,7-Mar-01,1-Feb-02
Slovenia,Belarus,18-Oct-06,---
Slovenia,Belgium and Luxembourg,1-Feb-99,14-Jan-02
Slovenia,Bosnia and Herzegovina,30-May-01,1-Jul-02
Slovenia,Bulgaria,30-Jun-98,26-Nov-00
Slovenia,China,13-Sep-93,1-Jan-95
Slovenia,Croatia,12-Dec-97,8-Jul-02
Slovenia,Denmark,12-May-99,30-Mar-02
Slovenia,Egypt,28-Oct-98,7-Feb-00
Slovenia,Finland,1-Jun-98,3-Jun-00
Slovenia,France,11-Feb-98,5-Aug-00
Slovenia,Germany,28-Oct-93,18-Jul-98
Slovenia,Greece,29-May-97,11-Feb-00
Slovenia,Hungary,15-Oct-96,9-Jun-00
Slovenia,India,14-Jun-11,---
Slovenia,Israel,13-May-98,2-Oct-99
Slovenia,Kuwait,26-Apr-02,28-Jul-04
Slovenia,Lithuania,13-Oct-98,15-May-02
Slovenia,"Macedonia, TFYR",5-Jun-96,21-Sep-99
Slovenia,Malta,15-Mar-01,6-Nov-01
Slovenia,"Moldova, Republic of",10-Apr-03,1-Jun-04
Slovenia,Netherlands,24-Sep-96,1-Aug-98
Slovenia,Poland,28-Jun-96,31-Mar-00
Slovenia,Portugal,14-May-97,4-May-00
Slovenia,Romania,24-Jan-96,24-Nov-96
Slovenia,Russian Federation,8-Apr-00,---
Slovenia,Serbia,18-Jun-02,1-May-04
Slovenia,Singapore,25-Jan-99,8-Sep-00
Slovenia,Slovakia,28-Jul-93,28-Mar-96
Slovenia,Spain,15-Jul-98,3-Apr-00
Slovenia,Sweden,5-Oct-99,12-May-01
Slovenia,Switzerland,9-Nov-95,20-Mar-97
Slovenia,Thailand,18-Feb-00,20-Oct-02
Slovenia,Turkey,23-Mar-04,19-Jun-06
Slovenia,Ukraine,30-Mar-99,1-Jun-00
Slovenia,United Kingdom,3-Jul-96,27-Mar-99
Slovenia,Uzbekistan,7-Oct-03,18-May-04
