Reporter,Partner,Date of Signature,Date of entry into force
Switzerland,Albania,22-Sep-92,30-Apr-93
Switzerland,Algeria,30-Nov-04,15-Aug-05
Switzerland,Argentina,12-Apr-91,6-Nov-92
Switzerland,Armenia,19-Nov-98,4-Nov-02
Switzerland,Azerbaijan,23-Feb-06,---
Switzerland,Bangladesh,14-Oct-00,3-Sep-01
Switzerland,Barbados,29-Mar-95,22-Dec-95
Switzerland,Belarus,28-May-93,13-Jul-94
Switzerland,Benin,20-Apr-66,6-Oct-73
Switzerland,Bolivia,6-Nov-87,13-May-91
Switzerland,Bosnia and Herzegovina,5-Sep-03,21-May-05
Switzerland,Botswana,26-Jun-98,13-Apr-00
Switzerland,Brazil,11-Nov-94,---
Switzerland,Bulgaria,28-Oct-91,26-Oct-93
Switzerland,Burkina Faso,6-May-69,15-Sep-69
Switzerland,Cambodia,12-Oct-96,28-Mar-00
Switzerland,Cameroon,28-Jan-63,6-Apr-64
Switzerland,Cape Verde,28-Oct-91,6-May-92
Switzerland,Central African Republic,28-Feb-73,4-Jul-73
Switzerland,Chad,21-Feb-67,31-Oct-67
Switzerland,Chile,24-Sep-99,2-May-02
Switzerland,China,27-Jan-09,13-Apr-10
Switzerland,Colombia,17-May-06,6-Oct-09
Switzerland,Congo,18-Oct-62,11-Jul-64
Switzerland,"Congo, DR",10-Mar-72,10-May-73
Switzerland,Costa Rica,1-Aug-00,19-Nov-02
Switzerland,Côte d' Ivoire,26-Jun-62,18-Nov-62
Switzerland,Croatia,30-Oct-96,17-Jun-97
Switzerland,Cuba,28-Jun-96,7-Nov-97
Switzerland,Czech Republic,5-Oct-90,7-Aug-91
Switzerland,Djibouti,4-Feb-01,10-Jun-01
Switzerland,Dominican Republic,27-Aug-04,30-May-06
Switzerland,Ecuador,2-May-68,9-Nov-69
Switzerland,Egypt,7-Jun-10,15-May-12
Switzerland,El Salvador,8-Dec-94,16-Sep-96
Switzerland,Estonia,21-Dec-92,18-Aug-93
Switzerland,Ethiopia,26-Jun-98,7-Dec-98
Switzerland,Gabon,28-Jan-72,18-Oct-72
Switzerland,Gambia,22-Nov-93,30-Mar-94
Switzerland,Ghana,8-Oct-91,16-Jun-93
Switzerland,Guatemala,9-Sep-02,3-May-05
Switzerland,Guinea,26-Apr-62,29-Jul-63
Switzerland,Guyana,13-Dec-05,---
Switzerland,Honduras,14-Oct-93,31-Aug-94
Switzerland,"Hong Kong, China",22-Sep-94,22-Oct-94
Switzerland,Hungary,5-Oct-88,16-May-89
Switzerland,India,4-Apr-97,16-Feb-00
Switzerland,Indonesia,6-Jun-74,9-Apr-76
Switzerland,"Iran, Islamic Republic of",8-Mar-98,1-Nov-01
Switzerland,Jamaica,11-Dec-90,21-Nov-91
Switzerland,Jordan,25-Feb-01,11-Dec-01
Switzerland,Kazakhstan,12-May-94,13-May-98
Switzerland,Kenya,14-Nov-06,10-Jul-09
Switzerland,"Korea, DPR",14-Dec-98,15-Nov-00
Switzerland,"Korea, Republic of",15-Dec-05,1-Sep-06
Switzerland,Kuwait,31-Oct-98,17-Dec-00
Switzerland,Kyrgyzstan,29-Jan-99,17-Apr-03
Switzerland,Lao PDR,4-Dec-96,4-Dec-96
Switzerland,Latvia,22-Dec-92,16-Apr-93
Switzerland,Lebanon,3-Mar-00,20-Apr-01
Switzerland,Lesotho,16-Jun-04,7-May-10
Switzerland,Liberia,23-Jul-63,22-Sep-64
Switzerland,Libyan Arab Jamahiriya,8-Dec-03,28-Apr-04
Switzerland,Lithuania,23-Dec-92,13-May-93
Switzerland,"Macedonia, TFYR",26-Sep-96,6-May-97
Switzerland,Madagascar,19-Nov-08,---
Switzerland,Malaysia,1-Mar-78,9-Jun-78
Switzerland,Mali,8-Mar-78,8-Dec-78
Switzerland,Mauritania,9-Sep-76,30-May-78
Switzerland,Mauritius,26-Nov-98,21-Apr-00
Switzerland,Mexico,10-Jul-95,14-Mar-96
Switzerland,"Moldova, Republic of",30-Nov-95,29-Nov-96
Switzerland,Mongolia,29-Jan-97,9-Sep-99
Switzerland,Montenegro,7-Dec-05,11-Jul-07
Switzerland,Morocco,17-Dec-85,12-Apr-91
Switzerland,Mozambique,29-Nov-02,17-Feb-04
Switzerland,Namibia,1-Aug-94,26-Apr-00
Switzerland,Nicaragua,30-Nov-98,2-May-00
Switzerland,Niger,28-Mar-62,17-Nov-62
Switzerland,Nigeria,30-Nov-01,1-Apr-03
Switzerland,Oman,17-Aug-04,18-Jan-05
Switzerland,Pakistan,11-Jul-95,6-May-96
Switzerland,Panama,19-Oct-83,22-Aug-85
Switzerland,Paraguay,31-Jan-92,28-Sep-92
Switzerland,Peru,22-Nov-91,23-Nov-93
Switzerland,Philippines,31-Mar-97,23-Apr-99
Switzerland,Poland,8-Nov-89,18-Apr-90
Switzerland,Qatar,12-Nov-01,15-Jul-04
Switzerland,Romania,25-Oct-93,30-Jul-94
Switzerland,Russian Federation,1-Dec-90,26-Aug-91
Switzerland,Rwanda,15-Oct-63,15-Oct-63
Switzerland,Saudi Arabia,1-Apr-06,9-Aug-08
Switzerland,Senegal,16-Aug-62,13-Aug-64
Switzerland,Serbia,7-Dec-05,20-Jul-11
Switzerland,Singapore,6-Mar-78,3-May-78
Switzerland,Slovakia,5-Oct-90,7-Aug-91
Switzerland,Slovenia,9-Nov-95,20-Mar-97
Switzerland,South Africa,27-Jun-95,29-Nov-97
Switzerland,Sri Lanka,23-Sep-81,12-Feb-82
Switzerland,Sudan,24-Oct-02,---
Switzerland,Syrian Arab Republic,9-May-07,1-Jul-08
Switzerland,Tajikistan,11-Jun-09,---
Switzerland,"Tanzania, United Republic",8-Apr-04,6-Apr-06
Switzerland,Thailand,17-Nov-97,21-Jul-99
Switzerland,Togo,17-Jan-64,9-Aug-66
Switzerland,Trinidad and Tobago,26-Oct-10,4-Jul-12
Switzerland,Tunisia,16-Oct-12,---
Switzerland,Turkey,3-Mar-88,21-Feb-90
Switzerland,Turkmenistan,15-May-08,2-Apr-09
Switzerland,Uganda,23-Aug-71,8-May-72
Switzerland,Ukraine,20-Apr-95,21-Jan-97
Switzerland,United Arab Emirates,3-Nov-98,16-Aug-99
Switzerland,Uruguay,7-Oct-88,22-Apr-91
Switzerland,Uzbekistan,16-Apr-93,5-Nov-93
Switzerland,Venezuela,18-Nov-93,30-Nov-94
Switzerland,VietNam,3-Jul-92,3-Dec-92
Switzerland,Zambia,3-Aug-94,7-Mar-95
Switzerland,Zimbabwe,15-Aug-96,9-Feb-01
