Reporter,Partner,Date of Signature,Date of entry into force
Syrian Arab Republic,Algeria,14-Sep-97,---
Syrian Arab Republic,Armenia,17-Jun-09,4-Jan-10
Syrian Arab Republic,Azerbaijan,8-Jul-09,4-Jan-10
Syrian Arab Republic,Bahrain,20-Sep-00,18-Dec-01
Syrian Arab Republic,Belarus,11-Mar-98,1-Oct-98
Syrian Arab Republic,Bulgaria,21-May-00,10-Nov-01
Syrian Arab Republic,China,9-Dec-96,1-Nov-01
Syrian Arab Republic,Cyprus,10-Jun-07,30-Dec-07
Syrian Arab Republic,Czech Republic,21-Nov-08,14-Jul-09
Syrian Arab Republic,Egypt,28-Apr-97,5-Oct-98
Syrian Arab Republic,France,12-May-09,---
Syrian Arab Republic,Germany,2-Aug-77,20-Apr-80
Syrian Arab Republic,Greece,23-Feb-03,27-Feb-04
Syrian Arab Republic,India,18-Jun-08,22-Jan-09
Syrian Arab Republic,Indonesia,27-Jun-97,20-Feb-00
Syrian Arab Republic,"Iran, Islamic Republic of",5-Feb-98,16-Nov-05
Syrian Arab Republic,Iraq,29-Aug-02,---
Syrian Arab Republic,Italy,20-Feb-02,13-Nov-03
Syrian Arab Republic,Jordan,8-Oct-01,11-May-02
Syrian Arab Republic,"Korea, DPR",14-May-06,---
Syrian Arab Republic,Kuwait,16-Aug-01,23-Mar-04
Syrian Arab Republic,Lebanon,18-Jul-10,---
Syrian Arab Republic,Libyan Arab Jamahiriya,8-Feb-93,7-Oct-95
Syrian Arab Republic,Malaysia,7-Jan-09,3-May-09
Syrian Arab Republic,Morocco,23-Oct-01,29-Mar-03
Syrian Arab Republic,Oman,14-Sep-05,---
Syrian Arab Republic,Pakistan,25-Apr-96,4-Nov-97
Syrian Arab Republic,Qatar,24-Oct-03,---
Syrian Arab Republic,Romania,24-Jun-08,26-Jul-09
Syrian Arab Republic,Russian Federation,27-Jan-05,13-Jul-07
Syrian Arab Republic,Senegal,14-Nov-75,---
Syrian Arab Republic,Slovakia,18-Feb-09,9-Dec-09
Syrian Arab Republic,Spain,20-Oct-03,14-Dec-04
Syrian Arab Republic,Sudan,7-Jan-00,1-Sep-01
Syrian Arab Republic,Switzerland,9-May-07,1-Jul-08
Syrian Arab Republic,Tajikistan,10-Feb-07,---
Syrian Arab Republic,Tunisia,23-Jan-01,12-Mar-03
Syrian Arab Republic,Turkey,6-Jan-04,3-Jan-06
Syrian Arab Republic,Ukraine,21-Apr-02,---
Syrian Arab Republic,United Arab Emirates,26-Nov-97,10-Jan-01
Syrian Arab Republic,Yemen,9-Oct-96,22-Jul-05
