Reporter,Partner,Date of Signature,Date of entry into force
Taiwan Province of China,Belize,16-Jan-99,---
Taiwan Province of China,Costa Rica,25-Mar-99,8-Oct-04
Taiwan Province of China,Dominican Republic,5-Nov-99,27-Nov-01
Taiwan Province of China,El Salvador,30-Aug-96,25-Feb-97
Taiwan Province of China,Gambia,8-Jun-10,---
Taiwan Province of China,Guatemala,2-Nov-99,1-Dec-01
Taiwan Province of China,Honduras,26-Feb-96,---
Taiwan Province of China,India,17-Oct-02,28-Nov-02
Taiwan Province of China,"Macedonia, TFYR",9-Jun-99,9-Jun-99
Taiwan Province of China,Malawi,22-Apr-95,---
Taiwan Province of China,Malaysia,18-Feb-93,18-Mar-93
Taiwan Province of China,Nicaragua,29-Jul-92,8-Jan-93
Taiwan Province of China,Nigeria,7-Apr-94,7-Apr-94
Taiwan Province of China,Panama,26-Mar-92,14-Jul-92
Taiwan Province of China,Paraguay,6-Apr-92,11-Sep-92
Taiwan Province of China,Philippines,28-Feb-92,28-Feb-92
Taiwan Province of China,Saint Vincent and the Grenadines,17-Dec-09,1-Feb-10
Taiwan Province of China,Saudi Arabia,31-Oct-00,---
Taiwan Province of China,Senegal,24-Oct-97,---
Taiwan Province of China,Singapore,9-Apr-90,9-Apr-90
Taiwan Province of China,Swaziland,3-Mar-98,---
Taiwan Province of China,Thailand,30-Apr-96,30-Apr-96
Taiwan Province of China,VietNam,21-Apr-93,23-Apr-93
