Reporter,Partner,Date of Signature,Date of entry into force
"Tanzania, UR",nited Republic Canada,17-May-13,---
"Tanzania, UR",Denmark,22-Apr-99,21-Oct-05
"Tanzania, UR",Egypt,30-Apr-97,---
"Tanzania, UR",Finland,19-Jun-01,30-Oct-02
"Tanzania, UR",Germany,30-Jan-65,12-Jul-68
"Tanzania, UR",Italy,21-Aug-01,25-Apr-03
"Tanzania, UR",Jordan,8-Oct-09,---
"Tanzania, UR","Korea, Republic of",18-Dec-98,---
"Tanzania, UR",Mauritius,4-May-09,---
"Tanzania, UR",Netherlands,31-Jul-01,1-Apr-04
"Tanzania, UR",Oman,16-Oct-12,---
"Tanzania, UR",South Africa,22-Sep-05,---
"Tanzania, UR",Sweden,1-Sep-99,1-Mar-02
"Tanzania, UR",Switzerland,8-Apr-04,6-Apr-06
"Tanzania, UR",Turkey,11-Mar-11,---
"Tanzania, UR",United Kingdom,7-Jan-94,2-Aug-96
"Tanzania, UR",Zimbabwe,3-Jul-03,---
