Reporter,Partner,Date of Signature,Date of entry into force
Turkey,Afghanistan,10-Jul-04,19-Jul-05
Turkey,Albania,1-Jun-92,26-Dec-96
Turkey,Algeria,3-Jun-98,---
Turkey,Argentina,8-May-92,1-May-95
Turkey,Australia,16-Jun-05,29-Jun-09
Turkey,Austria,16-Sep-88,1-Jan-92
Turkey,Azerbaijan,25-Oct-11,---
Turkey,Bahrain,15-Feb-06,---
Turkey,Bangladesh,12-Apr-12,---
Turkey,Belarus,8-Aug-95,20-Feb-97
Turkey,Belgium and Luxembourg,27-Aug-86,4-May-90
Turkey,Bosnia and Herzegovina,21-Jan-98,10-Feb-09
Turkey,Bulgaria,6-Jul-94,22-Sep-97
Turkey,Cameroon,24-Apr-12,---
Turkey,Chile,21-Aug-98,---
Turkey,China,13-Nov-90,20-Aug-94
Turkey,Croatia,18-Feb-09,---
Turkey,Cuba,22-Dec-97,23-Oct-99
Turkey,Czech Republic,29-Apr-09,18-Mar-12
Turkey,Denmark,7-Feb-90,1-Aug-92
Turkey,Egypt,4-Oct-96,31-Jul-02
Turkey,Estonia,3-Jun-97,29-Apr-99
Turkey,Ethiopia,16-Nov-00,10-Mar-05
Turkey,Finland,13-May-93,23-Apr-95
Turkey,France,15-Jun-06,3-Aug-09
Turkey,Gabon,18-Jul-12,---
Turkey,Gambia,12-Mar-13,---
Turkey,Georgia,30-Jul-92,28-Jul-95
Turkey,Germany,20-Jun-62,5-Dec-65
Turkey,Greece,20-Jan-00,24-Nov-01
Turkey,Hungary,14-Jan-92,1-Nov-94
Turkey,India,17-Sep-98,18-Oct-07
Turkey,Indonesia,25-Feb-97,28-Sep-98
Turkey,"Iran, Islamic Republic of",21-Dec-96,13-Apr-05
Turkey,Israel,14-Mar-96,27-Aug-98
Turkey,Italy,22-Mar-95,2-Mar-04
Turkey,Japan,12-Feb-92,12-Mar-93
Turkey,Jordan,2-Aug-93,23-Jan-06
Turkey,Kazakhstan,1-May-92,10-Aug-95
Turkey,"Korea, Republic of",14-May-91,4-Jun-94
Turkey,Kuwait,27-May-10,---
Turkey,Kyrgyzstan,28-Apr-92,31-Oct-96
Turkey,Latvia,18-Feb-97,3-Mar-99
Turkey,Lebanon,12-May-04,4-Jan-06
Turkey,Libyan Arab Jamahiriya,25-Nov-09,---
Turkey,Lithuania,11-Jul-94,7-Jul-97
Turkey,"Macedonia, TFYR",14-Jul-95,27-Oct-97
Turkey,Malaysia,25-Feb-98,9-Sep-00
Turkey,Malta,10-Oct-03,6-Apr-04
Turkey,Mauritius,7-Feb-13,---
Turkey,"Moldova, Republic of",14-Feb-94,16-May-97
Turkey,Mongolia,16-Mar-98,22-May-00
Turkey,Morocco,8-Apr-97,30-May-04
Turkey,Netherlands,27-Mar-86,1-Nov-89
Turkey,Nigeria,2-Feb-11,---
Turkey,Oman,4-Feb-07,15-Mar-10
Turkey,Pakistan,22-May-12,---
Turkey,Philippines,22-Feb-99,17-Feb-06
Turkey,Poland,21-Aug-91,19-Aug-94
Turkey,Portugal,19-Feb-01,19-Jan-04
Turkey,Qatar,25-Dec-01,12-Feb-08
Turkey,Romania,3-Mar-08,8-Jul-10
Turkey,Russian Federation,15-Dec-97,17-May-00
Turkey,Saudi Arabia,8-Aug-06,20-Feb-09
Turkey,Senegal,15-Jun-10,---
Turkey,Serbia,2-Mar-01,10-Dec-03
Turkey,Singapore,19-Feb-08,27-Mar-10
Turkey,Slovakia,13-Oct-09,---
Turkey,Slovenia,23-Mar-04,19-Jun-06
Turkey,South Africa,23-Jun-00,---
Turkey,Spain,15-Feb-95,3-Mar-98
Turkey,Sudan,19-Dec-99,---
Turkey,Sweden,11-Apr-97,8-Oct-98
Turkey,Switzerland,3-Mar-88,21-Feb-90
Turkey,Syrian Arab Republic,6-Jan-04,3-Jan-06
Turkey,Tajikistan,6-May-96,24-Jul-98
Turkey,"Tanzania, United",11-Mar-11,---
Turkey,Thailand,24-Jun-05,21-Jul-10
Turkey,Tunisia,29-May-91,28-Apr-94
Turkey,Turkmenistan,2-May-92,13-Mar-97
Turkey,Ukraine,27-Nov-96,21-May-98
Turkey,United Arab Emirates,28-Sep-05,24-Jul-11
Turkey,United Kingdom,15-Mar-91,22-Oct-96
Turkey,United States,3-Dec-85,18-May-90
Turkey,Uzbekistan,28-Apr-92,18-May-95
Turkey,Yemen,7-Sep-00,31-Mar-11
