Reporter,Partner,Date of Signature,Date of entry into force
United Arab Emirates,Algeria,24-Apr-01,3-Jun-02
United Arab Emirates,Austria,17-Jun-01,1-Dec-03
United Arab Emirates,Azerbaijan,1-Nov-06,24-Aug-07
United Arab Emirates,Bangladesh,17-Jan-11,---
United Arab Emirates,Belarus,27-Mar-00,16-Feb-01
United Arab Emirates,Belgium and Luxembourg,5-Mar-04,10-Nov-07
United Arab Emirates,China,1-Jul-93,28-Sep-94
United Arab Emirates,Czech Republic,23-Nov-94,25-Dec-95
United Arab Emirates,Egypt,11-May-97,11-Jan-99
United Arab Emirates,Finland,12-Mar-96,15-May-97
United Arab Emirates,France,9-Sep-91,10-Jan-95
United Arab Emirates,Germany,21-Jun-97,2-Jul-99
United Arab Emirates,Italy,22-Jan-95,29-Apr-97
United Arab Emirates,Jordan,15-Apr-09,12-Feb-10
United Arab Emirates,"Korea, Republic of",9-Jun-02,5-Jun-04
United Arab Emirates,Kuwait,12-Feb-66,---
United Arab Emirates,Lebanon,17-May-98,14-Jul-99
United Arab Emirates,Malaysia,11-Oct-91,22-May-92
United Arab Emirates,Mongolia,21-Feb-01,---
United Arab Emirates,Montenegro,26-Mar-12,---
United Arab Emirates,Morocco,9-Feb-99,1-Apr-02
United Arab Emirates,Mozambique,24-Sep-03,---
United Arab Emirates,Pakistan,5-Nov-95,---
United Arab Emirates,Poland,31-Jan-93,9-Apr-94
United Arab Emirates,Portugal,19-Nov-11,---
United Arab Emirates,Romania,11-Apr-93,7-Apr-96
United Arab Emirates,Russian Federation,28-Jun-10,---
United Arab Emirates,Sudan,4-Apr-11,---
United Arab Emirates,Sweden,10-Nov-99,6-May-00
United Arab Emirates,Switzerland,3-Nov-98,16-Aug-99
United Arab Emirates,Syrian Arab Republic,26-Nov-97,10-Jan-01
United Arab Emirates,Tajikistan,17-Dec-95,---
United Arab Emirates,Tunisia,10-Apr-96,24-Feb-97
United Arab Emirates,Turkey,28-Sep-05,24-Jul-11
United Arab Emirates,Turkmenistan,9-Jun-98,24-Nov-99
United Arab Emirates,Ukraine,21-Jan-03,28-Feb-04
United Arab Emirates,United Kingdom,8-Dec-92,15-Dec-93
United Arab Emirates,Uzbekistan,26-Oct-07,22-Apr-08
United Arab Emirates,VietNam,16-Feb-09,---
United Arab Emirates,Yemen,13-Feb-01,25-Aug-01
