Reporter,Partner,Date of Signature,Date of entry into force
Ukraine,Albania,25-Oct-02,---
Ukraine,Algeria,28-Jun-08,---
Ukraine,Argentina,9-Aug-95,6-May-97
Ukraine,Armenia,7-Oct-94,7-Mar-96
Ukraine,Austria,8-Nov-96,1-Dec-97
Ukraine,Azerbaijan,21-Mar-97,9-Dec-97
Ukraine,Belarus,14-Dec-95,11-Jun-97
Ukraine,Belgium and Luxembourg,20-May-96,27-Jan-01
Ukraine,Bosnia and Herzegovina,13-Mar-02,22-Jan-04
Ukraine,Brunei Darussalam,18-Jun-04,26-Apr-06
Ukraine,Bulgaria,8-Dec-94,10-Dec-95
Ukraine,Canada,24-Oct-94,24-Jun-95
Ukraine,Chile,30-Oct-95,29-Aug-97
Ukraine,China,31-Oct-92,29-May-93
Ukraine,Croatia,15-Dec-97,5-Jun-01
Ukraine,Cuba,20-May-95,4-Dec-96
Ukraine,Czech Republic,16-Sep-08,17-May-10
Ukraine,Denmark,23-Oct-92,29-Apr-94
Ukraine,Egypt,21-Dec-92,10-Oct-93
Ukraine,Estonia,15-Feb-95,5-Jul-95
Ukraine,Finland,7-Oct-04,7-Dec-05
Ukraine,France,3-May-94,26-Jan-96
Ukraine,Georgia,9-Jan-95,24-Apr-95
Ukraine,Germany,15-Feb-93,29-Jun-96
Ukraine,Greece,1-Sep-94,4-Jan-97
Ukraine,Hungary,11-Oct-94,3-Dec-96
Ukraine,India,1-Dec-01,12-Aug-03
Ukraine,Indonesia,11-Apr-96,22-Jun-97
Ukraine,"Iran, Islamic Republic of",21-May-96,5-Jul-03
Ukraine,Israel,16-Jun-94,18-Feb-97
Ukraine,Italy,2-May-95,12-Sep-97
Ukraine,Jordan,30-Nov-05,---
Ukraine,Kazakhstan,17-Sep-94,9-Jan-97
Ukraine,"Korea, Republic of",16-Dec-96,3-Nov-97
Ukraine,Kyrgyzstan,23-Feb-93,---
Ukraine,Latvia,24-Jul-97,30-Dec-97
Ukraine,Lebanon,25-Mar-96,26-May-00
Ukraine,Lithuania,8-Feb-94,6-Mar-95
Ukraine,"Macedonia, TFYR",2-Mar-98,25-Mar-00
Ukraine,"Moldova, Republic of",29-Aug-95,27-Sep-96
Ukraine,Mongolia,5-Nov-92,5-Nov-92
Ukraine,Morocco,24-Dec-01,25-Apr-09
Ukraine,Netherlands,14-Jul-94,1-Jun-97
Ukraine,Oman,1-Jan-02,---
Ukraine,Poland,12-Jan-93,14-Sep-93
Ukraine,Portugal,25-Oct-00,18-Jul-03
Ukraine,Romania,23-Feb-95,---
Ukraine,Russian Federation,17-Nov-98,27-Jan-00
Ukraine,San Marino,13-Jan-06,15-Oct-08
Ukraine,Saudi Arabia,9-Apr-08,---
Ukraine,Serbia,9-Jan-01,14-Aug-01
Ukraine,Singapore,18-Sep-06,---
Ukraine,Slovakia,22-Jun-94,3-Apr-96
Ukraine,Slovenia,30-Mar-99,1-Jun-00
Ukraine,Spain,26-Feb-98,13-Mar-00
Ukraine,Sweden,15-Aug-95,1-Mar-97
Ukraine,Switzerland,20-Apr-95,21-Jan-97
Ukraine,Syrian Arab Republic,21-Apr-02,---
Ukraine,Tajikistan,6-Jul-01,---
Ukraine,Turkey,27-Nov-96,21-May-98
Ukraine,Turkmenistan,29-Jan-98,---
Ukraine,United Arab Emirates,21-Jan-03,28-Feb-04
Ukraine,United Kingdom,10-Feb-93,10-Feb-93
Ukraine,United States,4-Mar-94,16-Nov-96
Ukraine,Uzbekistan,20-Feb-93,6-Jun-94
Ukraine,VietNam,8-Jun-94,8-Dec-94
Ukraine,Yemen,1-Feb-01,---
