Reporter,Partner,Date of Signature,Date of entry into force
Uruguay,Armenia,6-May-02,---
Uruguay,Australia,3-Sep-01,12-Dec-02
Uruguay,Belgium and Luxembourg,4-Nov-91,23-Apr-99
Uruguay,Canada,29-Oct-97,2-Jun-99
Uruguay,Chile,25-Mar-10,---
Uruguay,China,2-Dec-93,1-Dec-97
Uruguay,Czech Republic,15-May-09,9-Feb-12
Uruguay,El Salvador,24-Aug-00,23-May-03
Uruguay,Finland,21-Mar-02,18-Jun-04
Uruguay,France,14-Oct-93,9-Jul-97
Uruguay,Germany,4-May-87,29-Jun-90
Uruguay,Hungary,25-Aug-89,1-Jul-92
Uruguay,India,11-Feb-08,---
Uruguay,Israel,30-Mar-98,7-Oct-04
Uruguay,Italy,21-Feb-90,2-Mar-98
Uruguay,"Korea, Republic of",1-Oct-09,8-Dec-11
Uruguay,Malaysia,9-Aug-95,13-Apr-02
Uruguay,Mexico,30-Jun-99,1-Jul-02
Uruguay,Netherlands,22-Sep-88,1-Aug-91
Uruguay,Panama,18-Feb-98,14-Aug-02
Uruguay,Poland,2-Aug-91,21-Oct-94
Uruguay,Portugal,25-Jul-97,3-Nov-99
Uruguay,Romania,27-Sep-10,---
Uruguay,Spain,7-Apr-92,6-May-94
Uruguay,Sweden,17-Jun-97,1-Dec-99
Uruguay,Switzerland,7-Oct-88,22-Apr-91
Uruguay,United Kingdom,21-Oct-91,1-Aug-97
Uruguay,United States,4-Nov-05,1-Nov-06
Uruguay,Venezuela,20-May-97,18-Jan-02
Uruguay,VietNam,12-May-09,---
