Reporter,Partner,Date of Signature,Date of entry into force
Venezuela,Argentina,16-Nov-93,1-Jul-95
Venezuela,Barbados,15-Jul-94,31-Oct-95
Venezuela,Belarus,6-Dec-07,13-Aug-08
Venezuela,Belgium and Luxembourg,17-Mar-98,29-Apr-04
Venezuela,Brazil,4-Jul-95,---
Venezuela,Canada,1-Jul-96,28-Jan-98
Venezuela,Chile,2-Apr-93,25-May-95
Venezuela,Costa Rica,17-Mar-97,2-May-01
Venezuela,Cuba,11-Dec-96,15-Apr-04
Venezuela,Czech Republic,27-Apr-95,23-Jul-96
Venezuela,Denmark,28-Nov-94,19-Sep-96
Venezuela,Ecuador,18-Nov-93,1-Feb-95
Venezuela,France,2-Jul-01,30-Apr-04
Venezuela,Germany,14-May-96,16-Oct-98
Venezuela,Indonesia,18-Dec-00,23-Mar-03
Venezuela,"Iran, Islamic Republic of",11-Mar-05,7-Jun-06
Venezuela,Italy,14-Feb-01,---
Venezuela,Lithuania,24-Apr-95,1-Aug-96
Venezuela,Paraguay,5-Sep-96,14-Nov-97
Venezuela,Peru,12-Jan-96,18-Sep-97
Venezuela,Portugal,17-Jun-94,7-Oct-95
Venezuela,Russian Federation,7-Nov-08,26-Nov-09
Venezuela,Spain,2-Nov-95,10-Sep-97
Venezuela,Sweden,25-Nov-96,5-Jan-98
Venezuela,Switzerland,18-Nov-93,30-Nov-94
Venezuela,United Kingdom,15-Mar-95,1-Aug-96
Venezuela,Uruguay,20-May-97,18-Jan-02
Venezuela,VietNam,20-Nov-08,17-Jun-09
