Reporter,Partner,Date of Signature,Date of entry into force
Viet Nam,Algeria,21-Oct-96,---
Viet Nam,Argentina,3-Jun-96,1-Jun-97
Viet Nam,Armenia,1-Feb-93,28-Apr-93
Viet Nam,Australia,5-Mar-91,11-Sep-91
Viet Nam,Austria,27-Mar-95,1-Oct-96
Viet Nam,Bangladesh,1-May-05,---
Viet Nam,Belarus,8-Jul-92,24-Nov-94
Viet Nam,Belgium and Luxembourg,24-Jan-91,11-Jun-99
Viet Nam,Bulgaria,19-Sep-96,15-May-98
Viet Nam,Cambodia,1-Sep-01,---
Viet Nam,Chile,16-Sep-99,---
Viet Nam,China,2-Dec-92,1-Sep-93
Viet Nam,Cuba,12-Oct-95,1-Oct-96
Viet Nam,Czech Republic,21-Mar-08,21-Sep-09
Viet Nam,Denmark,23-Jul-93,7-Aug-94
Viet Nam,Egypt,6-Sep-97,4-Mar-02
Viet Nam,Finland,21-Feb-08,4-Jun-09
Viet Nam,France,26-May-92,10-Aug-94
Viet Nam,Germany,3-Apr-93,19-Sep-98
Viet Nam,Greece,13-Oct-08,---
Viet Nam,Hungary,26-Aug-94,16-Jun-95
Viet Nam,Iceland,20-Sep-02,10-Jul-03
Viet Nam,India,8-Mar-97,1-Dec-99
Viet Nam,Indonesia,25-Oct-91,3-Apr-94
Viet Nam,"Iran, Islamic Republic of",23-Mar-09,---
Viet Nam,Italy,18-May-90,6-May-94
Viet Nam,Japan,14-Nov-03,19-Dec-04
Viet Nam,Kazakhstan,15-Sep-09,---
Viet Nam,"Korea, DPR",2-May-02,---
Viet Nam,"Korea, Republic of",15-Sep-03,5-Jun-04
Viet Nam,Lao PDR,14-Jan-96,23-Jun-96
Viet Nam,Latvia,6-Nov-95,20-Feb-96
Viet Nam,Lithuania,27-Sep-95,24-Apr-03
Viet Nam,Malaysia,21-Jan-92,9-Oct-92
Viet Nam,Mongolia,17-Apr-00,13-Dec-01
Viet Nam,Morocco,15-Jun-12,---
Viet Nam,Mozambique,16-Jan-07,29-May-07
Viet Nam,Myanmar,15-Feb-00,---
Viet Nam,Namibia,30-May-03,---
Viet Nam,Netherlands,10-Mar-94,1-Feb-95
Viet Nam,Oman,10-Jan-11,---
Viet Nam,Philippines,27-Feb-92,29-Jan-93
Viet Nam,Poland,31-Aug-94,24-Nov-94
Viet Nam,Romania,15-Sep-94,16-Aug-95
Viet Nam,Russian Federation,16-Jun-94,3-Jul-96
Viet Nam,Singapore,29-Oct-92,25-Dec-92
Viet Nam,Slovakia,17-Dec-09,18-Aug-11
Viet Nam,Spain,20-Feb-06,29-Jul-11
Viet Nam,Sri Lanka,22-Oct-09,---
Viet Nam,Sweden,8-Sep-93,2-Aug-94
Viet Nam,Switzerland,3-Jul-92,3-Dec-92
Viet Nam,Taiwan Province of China,21-Apr-93,23-Apr-93
Viet Nam,Tajikistan,19-Jan-99,---
Viet Nam,Thailand,30-Oct-91,7-Feb-92
Viet Nam,Ukraine,8-Jun-94,8-Dec-94
Viet Nam,United Arab Emirates,16-Feb-09,---
Viet Nam,United Kingdom,1-Aug-02,---
Viet Nam,Uruguay,12-May-09,---
Viet Nam,Uzbekistan,28-Mar-96,6-Mar-98
Viet Nam,Venezuela,20-Nov-08,17-Jun-09
