Reporter,Partner,Date of Signature,Date of entry into force
Yemen,Algeria,25-Nov-99,---
Yemen,Austria,1-Jul-02,1-Jul-04
Yemen,Bahrain,1-Dec-02,---
Yemen,Belarus,18-Jul-03,---
Yemen,Belgium and Luxembourg,20-Nov-00,12-Jan-04
Yemen,Bulgaria,12-Apr-02,11-Apr-03
Yemen,China,16-Feb-98,10-Apr-02
Yemen,Czech Republic,20-May-08,4-Sep-09
Yemen,Egypt,6-Jun-96,10-Apr-98
Yemen,Ethiopia,15-Apr-99,15-Apr-00
Yemen,France,27-Apr-84,19-Jul-91
Yemen,Germany,2-Feb-05,28-Mar-08
Yemen,Hungary,18-Jan-04,9-Apr-06
Yemen,India,1-Oct-02,10-Feb-04
Yemen,Indonesia,20-Feb-98,---
Yemen,"Iran, Islamic Republic of",29-Feb-96,16-Oct-00
Yemen,Italy,25-Nov-04,3-May-08
Yemen,Jordan,18-Jun-95,28-Jan-98
Yemen,Kuwait,20-Feb-01,---
Yemen,Lebanon,25-Nov-99,13-May-02
Yemen,Malaysia,11-Feb-98,---
Yemen,Morocco,24-Feb-01,---
Yemen,Netherlands,18-Mar-85,1-Sep-86
Yemen,Oman,20-Sep-98,1-Apr-00
Yemen,Pakistan,11-May-99,---
Yemen,Qatar,7-Aug-00,---
Yemen,Russian Federation,1-Dec-02,17-Jun-05
Yemen,South Africa,1-Aug-02,---
Yemen,Spain,29-Jan-08,---
Yemen,Sudan,10-Aug-99,---
Yemen,Sweden,29-Oct-83,23-Feb-84
Yemen,Syrian Arab Republic,9-Oct-96,22-Jul-05
Yemen,Tunisia,8-Mar-98,---
Yemen,Turkey,7-Sep-00,31-Mar-11
Yemen,Ukraine,1-Feb-01,---
Yemen,United Arab Emirates,13-Feb-01,25-Aug-01
Yemen,United Kingdom,25-Feb-82,11-Nov-83
