Reporter,Partner,Date of Signature,Date of entry into force
Zimbabwe,Austria,10-Nov-00,---
Zimbabwe,Botswana,21-Mar-11,---
Zimbabwe,China,21-May-96,1-Mar-98
Zimbabwe,Croatia,18-Feb-00,---
Zimbabwe,Czech Republic,13-Sep-99,---
Zimbabwe,Denmark,25-Oct-96,2-Feb-99
Zimbabwe,Egypt,2-Jun-99,---
Zimbabwe,France,4-May-01,---
Zimbabwe,Germany,29-Sep-95,14-Apr-00
Zimbabwe,Ghana,30-Jun-03,---
Zimbabwe,India,10-Feb-99,---
Zimbabwe,Indonesia,10-Feb-99,---
Zimbabwe,"Iran, Islamic Republic of",9-May-99,---
Zimbabwe,Italy,16-Apr-99,---
Zimbabwe,Jamaica,10-Feb-99,---
Zimbabwe,Malawi,4-Jul-03,---
Zimbabwe,Malaysia,28-Apr-94,---
Zimbabwe,Mauritius,17-May-00,---
Zimbabwe,Mozambique,12-Sep-90,---
Zimbabwe,Netherlands,11-Dec-96,1-May-98
Zimbabwe,Portugal,5-May-94,---
Zimbabwe,Serbia,19-Sep-96,22-Jul-97
Zimbabwe,Singapore,1-Sep-00,---
Zimbabwe,South Africa,27-Nov-09,---
Zimbabwe,Sweden,6-Oct-97,---
Zimbabwe,Switzerland,15-Aug-96,9-Feb-01
Zimbabwe,"Tanzania, United Republic",3-Jul-03,---
Zimbabwe,Thailand,18-Feb-00,---
Zimbabwe,Uganda,1-Jul-03,---
Zimbabwe,United Kingdom,1-Mar-95,---
